Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.846130,3.846731,3.816679,3.816679,2.685780,46585
2008-01-03,3.846731,3.876784,3.845229,3.876784,2.728076,129772
2008-01-04,3.876784,3.876784,3.816679,3.816679,2.685780,153065
2008-01-07,3.816679,3.816679,3.816679,3.816679,2.685780,262872
2008-01-08,3.861758,3.861758,3.846731,3.846731,2.706927,226270
2008-01-09,3.846731,3.846731,3.846431,3.846731,2.706927,109807
2008-01-10,3.846731,3.846731,3.756574,3.816378,2.685568,49912
2008-01-11,3.846731,3.981968,3.756574,3.786626,2.664632,938355
2008-01-14,3.741547,3.767693,3.741547,3.767693,2.651309,276182
2008-01-15,3.767693,3.830803,3.756574,3.756574,2.643484,632225
2008-01-16,3.606010,3.606010,3.456048,3.576258,2.516596,329422
2008-01-17,3.603305,3.606010,3.395942,3.585274,2.522941,442557
2008-01-18,3.606010,3.606010,3.395942,3.395942,2.389709,212960
2008-01-21,3.336739,3.365890,3.200601,3.245679,2.283969,352715
2008-01-22,3.272727,3.275732,3.155522,3.238166,2.278683,382662
2008-01-23,3.224643,3.227347,3.224643,3.227347,2.271069,86515
2008-01-24,3.365890,3.422990,3.245679,3.389932,2.385480,4345715
2008-01-28,3.380616,3.380916,3.320811,3.380616,2.378925,86515
2008-01-29,3.364988,3.364988,3.335837,3.335837,2.347413,29947
2008-01-30,3.335837,3.335837,3.305785,3.320210,2.336416,3460600
2008-01-31,3.365589,3.365890,3.305785,3.365890,2.368562,146410
2008-02-01,3.450037,3.486100,3.335837,3.435011,2.417201,349387
2008-02-06,3.395942,3.425995,3.335837,3.425995,2.410857,106480
2008-02-07,3.395942,3.410969,3.365890,3.410969,2.400283,19965
2008-02-08,3.418482,3.418482,3.350864,3.379413,2.378077,266200
2008-02-11,3.425694,3.425694,3.065364,3.275732,2.305117,1197900
2008-02-12,3.335537,3.335837,3.236664,3.290758,2.315691,69877
2008-02-13,3.335837,3.335837,3.200601,3.290758,2.315691,509107
2008-02-14,3.380916,3.456048,3.185574,3.185574,2.241674,1154642
2008-02-15,3.185574,3.245679,3.155522,3.200300,2.252037,236252
2008-02-18,3.245679,3.335837,3.245679,3.248384,2.285873,26620
2008-02-19,3.329526,3.329526,3.125469,3.170548,2.231100,362697
2008-02-20,3.170548,3.170548,3.140495,3.140495,2.209951,46585
2008-02-21,3.140495,3.140495,3.080991,3.109541,2.188170,246235
2008-02-22,3.095416,3.125469,3.035311,3.125469,2.199378,522417
2008-02-25,3.215627,3.215627,3.155522,3.215627,2.262822,1860072
2008-02-26,3.155522,3.305785,3.155522,3.170548,2.231100,3886520
2008-02-27,3.185574,3.185574,3.125469,3.167543,2.228985,925045
2008-02-28,3.185574,3.266716,3.110443,3.185574,2.241674,781962
2008-02-29,3.155522,3.155522,3.149511,3.149511,2.216297,728722
2008-03-03,3.149511,3.155522,3.149511,3.155522,2.220527,163047
2008-03-04,3.095416,3.095416,2.993238,2.993238,2.106328,662172
2008-03-05,3.033809,3.230653,2.990232,3.020285,2.125360,2432402
2008-03-06,3.023290,3.065364,3.023290,3.026296,2.129591,119790
2008-03-07,3.050338,3.050338,3.017280,3.017280,2.123246,83187
2008-03-10,3.017280,3.035311,2.976108,2.976108,2.094274,602277
2008-03-11,3.065364,3.065364,3.005259,3.005259,2.114787,635552
2008-03-12,3.092411,3.151615,3.065364,3.098422,2.180346,262872
2008-03-13,3.148610,3.215627,3.080390,3.215627,2.262822,512435
2008-03-14,3.275432,3.365890,3.215326,3.215326,2.262610,1147987
2008-03-17,3.155522,3.272727,3.142900,3.272727,2.303002,39930
2008-03-18,3.275732,3.335837,3.275732,3.305785,2.326265,815237
2008-03-19,3.335837,3.335837,3.125469,3.131480,2.203608,103152
2008-03-20,3.128474,3.274229,3.126070,3.274229,2.304060,83187
2008-03-24,3.290758,3.290758,3.216228,3.284748,2.311463,59895
2008-03-25,3.290458,3.290758,3.185574,3.229151,2.272339,389317
2008-03-26,3.215627,3.242674,3.147107,3.147107,2.214605,19965
2008-03-27,3.215927,3.215927,3.155522,3.155522,2.220527,49912
2008-03-28,3.155522,3.254695,3.131480,3.131480,2.203608,49912
2008-03-31,3.215627,3.299774,3.215326,3.215326,2.262610,99825
2008-04-01,3.275732,3.275732,3.155822,3.242073,2.281432,56567
2008-04-02,3.269722,3.269722,3.125770,3.185274,2.241463,139755
2008-04-03,3.140796,3.155522,3.125469,3.155522,2.220527,106480
2008-04-04,3.125770,3.213824,3.125169,3.125169,2.199167,63222
2008-04-07,3.155522,3.200601,3.035311,3.080390,2.167656,555692
2008-04-08,3.103831,3.103831,3.065063,3.103831,2.184151,555692
2008-04-09,3.103831,3.103831,3.102930,3.102930,2.183518,9982
2008-04-10,3.011269,3.125169,3.011269,3.125169,2.199167,292820
2008-04-11,3.065364,3.065364,2.993238,2.993238,2.106328,349387
2008-04-14,2.989030,3.005259,2.960781,2.960781,2.083488,196322
2008-04-15,2.951465,3.034710,2.945154,2.945154,2.072491,242907
2008-04-16,2.975206,3.020285,2.945454,3.020285,2.125360,116462
2008-04-17,3.005259,3.005259,2.916604,2.916604,2.052401,954992
2008-04-18,2.975206,3.004658,2.886551,3.004658,2.114364,462522
2008-04-22,3.004658,3.077385,3.004658,3.077385,2.165542,36602
2008-04-23,3.035612,3.077385,2.981217,2.997746,2.109500,805255
2008-04-24,2.981217,2.981217,2.981217,2.981217,2.097868,6655
2008-04-25,2.981217,3.064763,2.969196,3.004958,2.114575,13310
2008-04-28,3.041021,3.041021,2.945154,3.005259,2.114787,346060
2008-04-29,2.975507,2.975507,2.945154,2.945154,2.072491,692120
2008-04-30,2.984222,3.035311,2.984222,3.035311,2.135934,136427
2008-05-02,3.245679,3.245679,3.155522,3.155522,2.220527,399300
2008-05-05,3.065664,3.230653,3.065664,3.200601,2.252248,59895
2008-05-06,3.185574,3.230353,3.170548,3.170548,2.231100,262872
2008-05-07,3.155822,3.215326,3.155522,3.179564,2.237445,346060
2008-05-08,3.257700,3.257700,3.125469,3.125469,2.199378,69877
2008-05-09,3.214725,3.214725,3.211720,3.211720,2.260073,43257
2008-05-12,3.197595,3.212021,3.197595,3.212021,2.260285,93170
2008-05-13,3.197595,3.212021,3.197595,3.212021,2.260285,93170
