Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.800000,2.853333,2.733333,2.733333,1.083518,514800
2000-01-04,2.733333,2.740000,2.603333,2.603333,1.031984,314100
2000-01-05,2.600000,2.633333,2.506666,2.630000,1.042555,478800
2000-01-06,2.630000,2.666666,2.600000,2.666666,1.057091,205200
2000-01-07,2.666666,2.666666,2.606666,2.606666,1.033306,394200
2000-01-10,2.730000,2.753333,2.666666,2.750000,1.090124,549000
2000-01-11,2.766666,2.853333,2.676666,2.713333,1.075590,642600
2000-01-12,2.733333,2.766666,2.683333,2.750000,1.090124,584100
2000-01-13,2.800000,2.833333,2.703333,2.703333,1.071625,551700
2000-01-14,2.733333,2.766666,2.700000,2.700000,1.070304,248400
2000-01-17,2.666666,2.733333,2.640000,2.720000,1.078233,149400
2000-01-18,2.666666,2.813333,2.666666,2.793333,1.107302,306000
2000-01-19,2.796666,2.826666,2.733333,2.763333,1.095410,105300
2000-01-20,2.720000,2.806666,2.720000,2.746666,1.088803,344700
2000-01-21,2.733333,2.800000,2.706666,2.770000,1.098053,158400
2000-01-24,2.700000,2.833333,2.700000,2.703333,1.071625,897300
2000-01-25,null,null,null,null,null,null
2000-01-26,2.703333,2.783333,2.703333,2.766666,1.096731,146700
2000-01-27,2.833333,2.833333,2.703333,2.706666,1.072946,202500
2000-01-28,2.800000,2.800000,2.623333,2.636666,1.045198,535500
2000-01-31,2.650000,2.650000,2.600000,2.633333,1.043876,286200
2000-02-01,2.640000,2.640000,2.606666,2.633333,1.043876,277200
2000-02-02,2.633333,2.633333,2.600000,2.606666,1.033306,76500
2000-02-03,2.666666,2.666666,2.606666,2.633333,1.043876,138600
2000-02-04,2.666666,2.716666,2.620000,2.666666,1.057091,254700
2000-02-07,2.670000,2.670000,2.616666,2.623333,1.039913,321300
2000-02-08,2.666666,2.700000,2.636666,2.683333,1.063697,1360800
2000-02-09,2.666666,2.740000,2.666666,2.683333,1.063697,178200
2000-02-10,2.666666,2.666666,2.616666,2.646666,1.049162,907200
2000-02-11,2.646666,2.666666,2.630000,2.633333,1.043876,545400
2000-02-14,2.630000,2.630000,2.526666,2.606666,1.033306,298800
2000-02-15,2.563333,2.563333,2.436666,2.490000,0.987058,390600
2000-02-16,2.490000,2.633333,2.433333,2.546666,1.009521,1227600
2000-02-17,2.500000,2.533333,2.486666,2.496666,0.989701,754200
2000-02-18,2.496666,2.616666,2.483333,2.500000,0.991022,252000
2000-02-21,2.516666,2.766666,2.483333,2.606666,1.033306,937800
2000-02-22,2.700000,2.700000,2.566666,2.570000,1.018770,197100
2000-02-23,2.570000,2.663333,2.540000,2.630000,1.042555,451800
2000-02-24,2.630000,2.733333,2.500000,2.500000,0.991022,598500
2000-02-25,2.500000,2.630000,2.486666,2.516666,0.997628,759600
2000-02-28,2.550000,2.600000,2.486666,2.550000,1.010842,90900
2000-02-29,2.500000,2.503333,2.460000,2.483333,0.984415,1028700
2000-03-01,2.500000,2.500000,2.446666,2.450000,0.971202,879300
2000-03-02,2.533333,2.600000,2.440000,2.450000,0.971202,567900
2000-03-03,2.446666,2.500000,2.446666,2.466666,0.977808,732600
2000-03-06,null,null,null,null,null,null
2000-03-07,null,null,null,null,null,null
2000-03-08,2.533333,2.566666,2.400000,2.566666,1.017449,564300
2000-03-09,2.466666,2.466666,2.416666,2.466666,0.977808,791100
2000-03-10,2.500000,2.563333,2.476666,2.546666,1.009521,81000
2000-03-13,null,null,null,null,null,null
2000-03-14,2.450000,2.450000,2.346666,2.346666,0.930239,711900
2000-03-15,2.433333,2.433333,2.240000,2.316666,0.918347,1014300
2000-03-16,2.393333,2.393333,2.266666,2.333333,0.924954,672300
2000-03-17,2.333333,2.333333,2.266666,2.266666,0.898527,352800
2000-03-20,2.246666,2.246666,2.100000,2.163333,0.857564,305100
2000-03-21,2.166666,2.233333,2.066666,2.150000,0.852279,1593000
2000-03-22,2.163333,2.233333,2.163333,2.166666,0.858885,3384000
2000-03-23,2.183333,2.263333,2.150000,2.150000,0.852279,293400
2000-03-24,2.166666,2.230000,2.166666,2.180000,0.864172,273600
2000-03-27,2.200000,2.200000,2.076666,2.133333,0.845672,333900
2000-03-28,2.163333,2.163333,2.073333,2.073333,0.821887,323100
2000-03-29,2.083333,2.113333,2.066666,2.100000,0.832459,480600
2000-03-30,2.083333,2.113333,2.083333,2.086666,0.827173,273600
2000-03-31,2.110000,2.113333,2.086666,2.096666,0.831137,748800
2000-04-03,2.096666,2.096666,2.016666,2.023333,0.802067,777600
2000-04-04,2.033333,2.040000,1.983333,2.040000,0.808674,1247400
2000-04-05,2.050000,2.096666,1.973333,2.000000,0.792818,502200
2000-04-06,2.016666,2.016666,1.936666,1.966666,0.779604,369000
2000-04-07,1.966666,2.000000,1.916666,1.963333,0.778283,890100
2000-04-10,1.963333,1.993333,1.890000,1.900000,0.753177,495900
2000-04-11,1.983333,1.983333,1.866666,1.886666,0.747891,755100
2000-04-12,1.966666,2.000000,1.866666,1.926666,0.763747,846000
2000-04-13,1.926666,1.983333,1.866666,1.896666,0.751855,302400
2000-04-14,1.866666,1.900000,1.800000,1.833333,0.726749,595800
2000-04-17,1.876666,1.883333,1.770000,1.883333,0.746570,405900
2000-04-18,1.900000,2.000000,1.836666,1.933333,0.766391,767700
2000-04-19,1.983333,1.996666,1.836666,1.843333,0.730714,309600
2000-04-20,1.900000,1.900000,1.850000,1.866666,0.739963,258300
2000-04-21,null,null,null,null,null,null
2000-04-24,1.880000,1.930000,1.866666,1.866666,0.739963,328500
2000-04-25,1.933333,1.966666,1.870000,1.873333,0.742606,279900
2000-04-26,1.916666,1.916666,1.846666,1.900000,0.753177,439200
2000-04-27,1.833333,1.916666,1.833333,1.900000,0.753177,1332900
2000-04-28,1.946666,2.046666,1.883333,2.000000,0.792818,460800
2000-05-01,null,null,null,null,null,null
2000-05-02,2.096666,2.130000,2.000000,2.063333,0.817924,914400
2000-05-03,2.033333,2.100000,1.983333,2.050000,0.812638,220500
2000-05-04,2.083333,2.083333,2.000000,2.016666,0.799424,137700
2000-05-05,2.000000,2.000000,1.973333,1.980000,0.784890,211500
2000-05-08,2.000000,2.000000,1.950000,1.953333,0.774318,243900
2000-05-09,1.936666,2.000000,1.933333,1.950000,0.772998,243000
2000-05-10,1.950000,1.956666,1.906666,1.913333,0.758462,350100
2000-05-11,1.996666,1.996666,1.906666,1.933333,0.766391,369000
2000-05-12,1.966666,1.966666,1.866666,1.950000,0.772998,401400
2000-05-15,1.963333,1.996666,1.883333,1.986666,0.787532,132300
2000-05-16,1.980000,2.033333,1.966666,1.986666,0.787532,414000
2000-05-17,1.966666,2.030000,1.960000,2.016666,0.799424,280800
2000-05-18,1.983333,2.033333,1.936666,1.956666,0.775640,134100
2000-05-19,1.966666,1.996666,1.936666,1.996666,0.791496,93600
2000-05-22,1.966666,1.966666,1.900000,1.953333,0.774318,1172700
2000-05-23,1.996666,1.996666,1.870000,1.870000,0.741285,234900
2000-05-24,1.866666,1.933333,1.840000,1.930000,0.765069,202500
