Date,Open,High,Low,Close,Adj Close,Volume
2017-02-24,4.550000,4.550000,4.550000,4.550000,3.610075,5200
2017-03-01,4.550000,4.550000,4.487500,4.487500,3.560486,17200
2017-03-02,4.487500,4.487500,4.487500,4.487500,3.560486,0
2017-03-03,4.750000,4.750000,4.625000,4.687500,3.719171,7200
2017-03-06,4.700000,4.875000,4.625000,4.800000,3.808431,22800
2017-03-07,4.525000,4.750000,4.525000,4.595000,3.645779,13600
2017-03-08,4.555000,4.750000,4.465000,4.625000,3.669582,16400
2017-03-09,4.475000,4.750000,4.407500,4.747500,3.766776,6800
2017-03-10,4.525000,4.745000,4.500000,4.672500,3.707269,26000
2017-03-13,4.600000,4.600000,4.600000,4.600000,3.649746,2400
2017-03-14,4.697500,4.750000,4.625000,4.647500,3.687433,3600
2017-03-15,4.625000,4.670000,4.625000,4.670000,3.705286,6400
2017-03-16,4.625000,4.747500,4.625000,4.650000,3.689417,3200
2017-03-17,4.625000,4.725000,4.625000,4.650000,3.689417,4400
2017-03-20,4.575000,4.575000,4.375000,4.375000,3.471226,8000
2017-03-21,4.375000,4.375000,4.252500,4.252500,3.374032,10000
2017-03-22,4.450000,4.650000,4.450000,4.647500,3.687433,623200
2017-03-23,4.545000,4.642500,4.475000,4.475000,3.550569,12000
2017-03-24,4.480000,4.572500,4.460000,4.465000,3.542634,46800
2017-03-27,4.475000,4.475000,4.450000,4.450000,3.530733,1600
2017-03-28,4.487500,4.675000,4.487500,4.675000,3.709252,61200
2017-03-29,4.695000,4.750000,4.657500,4.697500,3.727105,85200
2017-03-30,4.697500,4.762500,4.625000,4.725000,3.748924,349200
2017-03-31,4.695000,4.767500,4.695000,4.750000,3.768759,390400
2017-04-03,4.725000,4.812500,4.675000,4.812500,3.818348,105200
2017-04-04,4.725000,4.972500,4.725000,4.972500,3.945296,24000
2017-04-05,4.807500,4.960000,4.807500,4.895000,3.883806,18000
2017-04-06,4.765000,4.790000,4.625000,4.625000,3.669582,74000
2017-04-07,4.720000,4.762500,4.712500,4.762500,3.778677,9200
2017-04-10,4.677500,4.812500,4.672500,4.747500,3.766776,19600
2017-04-11,4.747500,4.750000,4.630000,4.680000,3.713220,11600
2017-04-12,4.625000,4.772500,4.625000,4.772500,3.786612,27600
2017-04-13,4.652500,4.652500,4.525000,4.602500,3.651729,39544400
2017-04-17,4.352500,4.650000,4.352500,4.600000,3.649746,4008000
2017-04-18,4.600000,4.600000,4.475000,4.500000,3.570404,3004400
2017-04-19,4.402500,4.600000,4.250000,4.372500,3.469242,6914000
2017-04-20,4.270000,4.487500,4.270000,4.375000,3.471226,2558400
2017-04-24,4.502500,4.502500,4.450000,4.450000,3.530733,8001600
2017-04-25,4.450000,4.450000,4.450000,4.450000,3.530733,0
2017-04-26,4.500000,4.500000,4.500000,4.500000,3.570404,400
2017-04-27,4.500000,4.500000,4.500000,4.500000,3.570404,0
2017-04-28,4.500000,4.500000,4.500000,4.500000,3.570404,0
2017-05-02,4.500000,4.575000,4.425000,4.575000,3.629910,51600
2017-05-03,4.650000,4.750000,4.562500,4.750000,3.768759,6040400
2017-05-04,4.672500,4.672500,4.550000,4.635000,3.677516,6047600
2017-05-05,4.625000,4.650000,4.575000,4.650000,3.689417,11200
2017-05-08,4.500000,4.650000,4.500000,4.650000,3.689417,1600
2017-05-09,4.650000,4.687500,4.580000,4.687500,3.719171,21200
2017-05-10,4.687500,4.837500,4.687500,4.687500,3.719171,6203200
2017-05-11,4.687500,4.747500,4.687500,4.747500,3.766776,11200
2017-05-12,4.750000,4.750000,4.542500,4.750000,3.768759,1600
2017-05-15,4.750000,4.750000,4.750000,4.750000,3.768759,0
2017-05-16,4.700000,4.700000,4.700000,4.700000,3.729089,400
