Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2937.500000,2987.500000,2762.500000,2781.250000,1344.390015,30400
2000-01-04,2687.500000,2743.750000,2500.000000,2712.500000,1311.157715,167200
2000-01-05,2637.500000,2725.000000,2637.500000,2725.000000,1317.200073,51200
2000-01-06,2812.500000,2862.500000,2812.500000,2862.500000,1383.664429,47200
2000-01-07,2862.500000,3062.500000,2862.500000,2937.500000,1419.917236,173600
2000-01-10,2962.500000,3087.500000,2762.500000,3000.000000,1450.128784,46400
2000-01-11,3000.000000,3000.000000,2812.500000,3000.000000,1450.128784,31200
2000-01-12,2812.500000,2875.000000,2812.500000,2875.000000,1389.706665,39200
2000-01-13,2925.000000,2925.000000,2650.000000,2662.500000,1286.989136,85600
2000-01-14,2650.000000,2662.500000,2562.500000,2600.000000,1256.778198,101600
2000-01-17,2625.000000,2625.000000,2500.000000,2562.500000,1238.651611,52800
2000-01-18,2625.000000,2687.500000,2625.000000,2625.000000,1268.862671,48000
2000-01-19,2587.500000,2587.500000,2500.375000,2500.375000,1208.621704,26400
2000-01-20,2525.000000,2725.000000,2512.625000,2625.000000,1268.862671,128000
2000-01-21,2625.000000,2625.000000,2562.750000,2562.750000,1238.772583,37600
2000-01-24,2625.000000,2625.000000,2562.500000,2575.000000,1244.693848,25600
2000-01-25,2575.000000,2575.000000,2575.000000,2575.000000,1244.693848,0
2000-01-26,2575.000000,2575.000000,2500.000000,2500.000000,1208.440552,145600
2000-01-27,2512.500000,2525.000000,2500.000000,2525.000000,1220.524658,96000
2000-01-28,2450.125000,2500.000000,2425.000000,2500.000000,1208.440552,63200
2000-01-31,2437.500000,2437.500000,2375.000000,2375.000000,1148.018677,28800
2000-02-01,2456.250000,2468.625000,2456.250000,2468.625000,1193.274658,9600
2000-02-02,2469.000000,2500.000000,2387.625000,2387.625000,1154.121094,60800
2000-02-03,2437.500000,2437.500000,2375.000000,2375.000000,1148.018677,16800
2000-02-04,2412.500000,2412.500000,2250.000000,2374.875000,1147.958008,17600
2000-02-07,2499.750000,2499.750000,2375.000000,2412.500000,1166.144897,9600
2000-02-08,2375.000000,2375.000000,2250.000000,2374.375000,1147.716309,86400
2000-02-09,2375.000000,2375.000000,2137.750000,2250.000000,1087.596558,102400
2000-02-10,2275.000000,2275.000000,2250.000000,2250.000000,1087.596558,62400
2000-02-11,2262.625000,2375.000000,2262.625000,2325.000000,1123.849731,113600
2000-02-14,2338.125000,2468.625000,2337.500000,2375.125000,1148.078857,122400
2000-02-15,2387.500000,2425.000000,2287.500000,2384.375000,1152.550049,100800
2000-02-16,2362.500000,2550.000000,2337.500000,2550.000000,1232.609131,22400
2000-02-17,2537.375000,2937.500000,2437.500000,2850.000000,1377.622314,159200
2000-02-18,2875.000000,2875.000000,2637.500000,2775.000000,1341.369019,47200
2000-02-21,2800.000000,2800.000000,2800.000000,2800.000000,1353.453369,8800
2000-02-22,2687.500000,2687.875000,2687.500000,2687.875000,1299.254761,52000
2000-02-23,2625.000000,2625.000000,2624.875000,2625.000000,1268.862671,112000
2000-02-24,2625.125000,2656.250000,2500.000000,2618.750000,1265.841553,44000
2000-02-25,2650.000000,2650.000000,2625.000000,2650.000000,1280.946899,8000
2000-02-28,2500.000000,2562.500000,2500.000000,2562.500000,1238.651611,24000
2000-02-29,2687.500000,2687.500000,2500.000000,2500.000000,1208.440552,35200
2000-03-01,2515.000000,2550.000000,2500.000000,2500.000000,1208.440552,39200
2000-03-02,2512.500000,2512.500000,2449.875000,2449.875000,1184.211304,12000
2000-03-03,2412.500000,2500.000000,2412.500000,2500.000000,1208.440552,8000
2000-03-06,2500.000000,2500.000000,2500.000000,2500.000000,1208.440552,0
2000-03-07,2500.000000,2500.000000,2500.000000,2500.000000,1208.440552,0
2000-03-08,2275.000000,2625.000000,2275.000000,2275.000000,1099.680664,0
2000-03-09,2275.000000,2550.000000,2275.000000,2275.000000,1099.680664,0
2000-03-10,2275.000000,2556.250000,2275.000000,2275.000000,1099.680664,0
2000-03-13,2187.500000,2474.875000,2187.500000,2187.500000,1057.385498,0
2000-03-14,2450.000000,2500.000000,2449.875000,2500.000000,1208.440552,32800
2000-03-15,2437.500000,2437.500000,2437.375000,2437.375000,1178.168945,18400
2000-03-16,2350.000000,2425.000000,2350.000000,2400.000000,1160.102905,19200
2000-03-17,2387.500000,2387.500000,2250.000000,2362.375000,1141.915894,30400
2000-03-20,2312.500000,2312.500000,2249.875000,2250.000000,1087.596558,31200
2000-03-21,2362.500000,2362.500000,2187.500000,2187.500000,1057.385498,66400
2000-03-22,2188.750000,2375.000000,2187.375000,2187.375000,1057.324951,176000
2000-03-23,2200.000000,2212.500000,2143.750000,2143.750000,1036.237915,32800
2000-03-24,2137.625000,2250.000000,2137.500000,2250.000000,1087.596558,21600
2000-03-27,2187.500000,2300.000000,2187.500000,2300.000000,1111.765259,10400
2000-03-28,2163.750000,2237.500000,2137.625000,2237.500000,1081.554443,5600
2000-03-29,2187.375000,2187.500000,2075.000000,2187.500000,1057.385498,106400
2000-03-30,2162.500000,2162.500000,2125.000000,2125.000000,1027.174561,40000
2000-03-31,2125.000000,2137.500000,2125.000000,2125.000000,1027.174561,167200
2000-04-03,2125.000000,2150.000000,2087.500000,2150.000000,1039.258789,14400
2000-04-04,2162.500000,2162.500000,2062.500000,2062.500000,996.963440,9600
2000-04-05,2000.000000,2062.500000,2000.000000,2062.500000,996.963440,10400
2000-04-06,2012.500000,2012.500000,2000.000000,2000.000000,966.752502,12000
2000-04-07,1937.500000,1937.500000,1875.000000,1875.000000,906.330322,30400
2000-04-10,1750.000000,1762.500000,1750.000000,1750.000000,845.908447,28800
2000-04-11,1743.750000,1812.500000,1743.750000,1812.500000,876.119324,20800
2000-04-12,1750.000000,1787.500000,1750.000000,1762.500000,851.950500,25600
2000-04-13,1687.500000,1750.000000,1687.500000,1700.000000,821.739624,24000
2000-04-14,1512.500000,1875.000000,1512.500000,1512.500000,731.106384,0
2000-04-17,1562.500000,1675.000000,1500.000000,1500.000000,725.064392,20800
2000-04-18,1512.625000,1512.625000,1500.000000,1500.000000,725.064392,48800
2000-04-19,1512.500000,1750.000000,1512.500000,1512.500000,731.106384,0
2000-04-20,1512.500000,1687.500000,1512.500000,1512.500000,731.106384,0
2000-04-21,1512.500000,1512.500000,1512.500000,1512.500000,731.106384,0
2000-04-24,1750.000000,1750.000000,1750.000000,1750.000000,845.908447,800
2000-04-25,1750.000000,1750.000000,1687.500000,1687.500000,815.697388,1600
2000-04-26,1562.500000,1687.500000,1562.500000,1562.500000,755.275269,0
2000-04-27,1687.500000,1687.500000,1687.500000,1687.500000,815.697388,2400
2000-04-28,1687.500000,1687.500000,1625.000000,1625.000000,785.486328,7200
2000-05-01,1625.000000,1625.000000,1625.000000,1625.000000,785.486328,0
2000-05-02,1562.500000,2375.000000,1562.500000,1562.500000,755.275269,0
2000-05-03,1575.000000,1625.000000,1575.000000,1575.000000,761.317505,0
2000-05-04,1625.000000,2062.500000,1624.875000,2000.000000,966.752502,347200
2000-05-05,2125.000000,2337.500000,2000.000000,2124.875000,1027.114136,257600
2000-05-08,2000.000000,2000.000000,2000.000000,2000.000000,966.752502,800
2000-05-09,1930.000000,1950.000000,1875.000000,1900.000000,918.414734,108000
2000-05-10,1925.000000,1950.000000,1900.000000,1950.000000,942.583679,61600
2000-05-11,1937.500000,1937.500000,1875.000000,1875.000000,906.330322,19200
2000-05-12,1750.000000,2000.000000,1750.000000,1750.000000,845.908447,0
2000-05-15,1875.000000,1875.000000,1875.000000,1875.000000,906.330322,8000
2000-05-16,1875.000000,1925.000000,1875.000000,1925.000000,930.499023,38400
2000-05-17,1925.000000,2000.000000,1875.000000,1937.500000,936.541382,36000
2000-05-18,1875.000000,1962.500000,1875.000000,1962.500000,948.625610,8800
2000-05-19,1762.500000,1987.500000,1762.500000,1762.500000,851.950500,0
2000-05-22,1762.500000,1987.500000,1762.500000,1762.500000,851.950500,0
2000-05-23,1815.000000,1912.375000,1826.250000,1831.250000,885.182556,24000
2000-05-24,1824.875000,1856.250000,1824.875000,1856.250000,897.266846,56000
2000-05-25,1856.250000,1856.250000,1856.250000,1856.250000,897.266846,4000
2000-05-26,1912.500000,1912.500000,1856.250000,1887.500000,912.372620,22400
2000-05-29,1912.500000,1912.500000,1912.500000,1912.500000,924.456909,80800
2000-05-30,1912.500000,1950.000000,1912.500000,1950.000000,942.583679,16000
2000-05-31,1962.500000,1962.500000,1962.500000,1962.500000,948.625610,40000
2000-06-01,1962.500000,2312.500000,1962.500000,2187.500000,1057.385498,97600
2000-06-02,2125.000000,2231.250000,2125.000000,2231.250000,1078.533203,21600
2000-06-05,2062.500000,2137.500000,2062.500000,2137.500000,1033.216553,11200
2000-06-06,2137.500000,2137.500000,2137.500000,2137.500000,1033.216553,0
2000-06-07,2137.500000,2166.250000,2125.000000,2166.250000,1047.113770,45600
2000-06-08,2187.500000,2200.000000,2187.500000,2200.000000,1063.427612,2400
2000-06-09,2187.500000,2200.000000,2125.125000,2200.000000,1063.427612,13600
2000-06-12,2250.000000,2250.000000,2250.000000,2250.000000,1087.596558,800
2000-06-13,2225.000000,2375.000000,2187.500000,2375.000000,1148.018677,114400
2000-06-14,2375.000000,2437.500000,2362.500000,2375.000000,1148.018677,57600
2000-06-15,2374.875000,2374.875000,2337.500000,2337.500000,1129.891968,57600
2000-06-16,2362.500000,2437.500000,2312.500000,2437.500000,1178.229614,80000
2000-06-19,2375.000000,2562.500000,2375.000000,2562.500000,1238.651611,260800
2000-06-20,2437.500000,2537.500000,2437.500000,2537.500000,1226.566895,20000
2000-06-21,2550.000000,2587.500000,2500.000000,2550.000000,1232.609131,148000
2000-06-22,2550.000000,2550.000000,2550.000000,2550.000000,1232.609131,0
2000-06-23,2262.625000,2562.500000,2262.625000,2262.625000,1093.699219,0
2000-06-26,2387.500000,2462.500000,2375.625000,2462.500000,1190.313843,64800
