Date,Open,High,Low,Close,Adj Close,Volume
2009-06-29,8.539906,8.715728,8.288733,8.424367,4.798771,340657037
2009-06-30,8.484648,8.590141,8.364085,8.464554,4.821663,91353899
2009-07-01,8.600188,9.072395,8.575071,8.956855,5.102091,81824638
2009-07-02,8.791080,9.057324,8.700658,9.052301,5.156460,52866196
2009-07-03,9.062348,9.182911,8.951831,8.961878,5.104954,5594334
2009-07-06,8.846338,9.012113,8.735822,8.866432,5.050584,18494569
2009-07-07,8.811174,8.826245,8.404273,8.514789,4.850278,27551845
2009-07-08,8.434413,8.640376,8.399249,8.539906,4.864585,20834981
2009-07-09,8.539906,8.539906,8.539906,8.539906,4.864585,0
2009-07-10,8.539906,8.886526,8.489672,8.786057,5.004800,26881791
2009-07-13,8.841315,9.037230,8.640376,9.037230,5.147875,82417853
2009-07-14,9.092489,9.238169,8.992019,9.142723,5.207969,32791247
2009-07-15,9.243193,9.413991,9.223099,9.343662,5.322429,15763192
2009-07-16,9.338639,9.479296,9.047277,9.479296,5.399691,7422153
2009-07-17,9.494367,9.534554,9.192958,9.293428,5.293816,16738215
2009-07-20,9.293428,9.368780,8.961878,9.037230,5.147875,31881916
2009-07-21,9.042254,9.082442,8.740845,8.791080,5.007662,17138137
2009-07-22,8.791080,8.946808,8.740845,8.740845,4.979046,27070704
2009-07-23,8.821221,8.906620,8.770986,8.841315,5.036278,13699481
2009-07-24,8.826245,9.007090,8.735822,8.735822,4.976184,12029323
2009-07-27,8.770986,8.816198,8.499719,8.539906,4.864585,16901050
2009-07-28,8.514789,8.665493,8.499719,8.665493,4.936124,24519482
2009-07-29,8.615259,8.620282,8.539906,8.580094,4.887478,4645987
2009-07-30,8.615259,8.891550,8.615259,8.891550,5.064892,10620935
2009-07-31,8.846338,8.992019,8.841315,8.992019,5.122123,5642309
2009-08-03,9.012113,9.142723,8.936761,8.946808,5.096371,5968776
2009-08-04,8.886526,9.122630,8.846338,8.997043,5.124984,6899208
2009-08-05,8.951831,9.253240,8.871456,9.243193,5.265200,18395832
2009-08-06,9.243193,9.338639,8.876479,8.891550,5.064892,12729436
2009-08-07,8.941784,9.017137,8.615259,8.791080,5.007662,27335262
2009-08-10,8.720752,8.791080,8.620282,8.665493,4.936124,17369451
2009-08-11,8.710705,8.710705,8.519813,8.539906,4.864585,23126821
2009-08-12,8.590141,8.670517,8.544930,8.570047,4.881757,14354606
2009-08-13,8.615259,8.660470,8.494695,8.494695,4.838833,21772380
2009-08-14,8.524836,8.560000,8.343991,8.444460,4.810218,8343229
2009-08-17,8.298780,8.539906,8.163146,8.338967,4.750126,5287177
2009-08-18,8.409296,8.625306,8.409296,8.479625,4.830249,6278920
2009-08-19,8.429390,8.484648,8.343991,8.359061,4.761571,5422541
2009-08-20,8.379155,8.424367,8.303803,8.313850,4.735819,4394169
2009-08-21,8.364085,8.615259,8.364085,8.615259,4.907511,8701745
2009-08-24,8.640376,8.745869,8.590141,8.740845,4.979046,8580515
2009-08-25,8.670517,8.781033,8.640376,8.735822,4.976184,10406143
2009-08-26,8.680564,8.690611,8.404273,8.444460,4.810218,12925515
2009-08-27,8.444460,8.489672,8.253568,8.374132,4.770154,9221306
2009-08-28,8.414320,8.479625,8.077747,8.163146,4.649972,11091326
2009-08-31,8.117935,8.258592,7.987324,8.258592,4.704341,17575086
2009-09-01,8.238498,8.238498,8.052629,8.087794,4.607050,7104644
2009-09-02,8.047606,8.173193,7.937089,8.032536,4.575572,12551073
2009-09-03,8.087794,8.138028,8.017465,8.037559,4.578434,8294258
2009-09-04,8.102864,8.102864,8.017465,8.087794,4.607050,5427717
2009-09-08,8.117935,8.258592,8.092817,8.238498,4.692894,9793619
2009-09-09,8.238498,8.238498,8.037559,8.037559,4.578434,8028108
2009-09-10,8.022489,8.122958,8.017465,8.122958,4.627080,5041132
2009-09-11,8.138028,8.153099,8.012442,8.027512,4.572710,7119773
2009-09-14,8.017465,8.087794,7.942113,8.032536,4.575572,5692872
2009-09-15,8.052629,8.072723,7.962207,7.962207,4.535511,11183096
2009-09-16,8.012442,8.504742,7.992348,8.489672,4.835971,27051992
2009-09-17,8.539906,8.921691,8.514789,8.886526,5.062031,17192482
2009-09-18,8.891550,9.142723,8.836291,9.142723,5.207969,13044755
2009-09-21,9.012113,9.429061,8.725775,9.318545,5.308123,14045656
2009-09-22,9.318545,9.383850,9.057324,9.067371,5.165046,9369610
2009-09-23,9.072395,9.162817,8.791080,8.791080,5.007662,6981223
2009-09-24,8.801127,9.077418,8.801127,8.976949,5.113540,6905578
2009-09-25,8.891550,9.037230,8.856385,8.966902,5.107816,5455984
2009-09-28,9.017137,9.142723,8.896573,9.052301,5.156460,3217295
2009-09-29,8.941784,9.032207,8.745869,8.770986,4.996216,5058849
2009-09-30,8.851362,8.891550,8.715728,8.831268,5.030554,7111412
2009-10-01,8.750892,8.911644,8.494695,8.539906,4.864585,6904583
2009-10-02,8.590141,8.675540,8.514789,8.590141,4.893201,11405452
2009-10-05,8.665493,8.906620,8.620282,8.901597,5.070617,9714789
2009-10-06,8.941784,9.092489,8.901597,9.042254,5.150738,11587198
2009-10-07,8.941784,9.032207,8.781033,8.881503,5.059171,5884970
2009-10-08,8.936761,9.022160,8.549953,8.690611,4.950432,12702562
2009-10-09,8.680564,8.680564,8.509766,8.645399,4.924678,8132816
2009-10-13,8.640376,8.760939,8.539906,8.665493,4.936124,9768338
2009-10-14,8.776010,8.891550,8.745869,8.816198,5.021970,8356765
2009-10-15,8.791080,8.966902,8.765963,8.916667,5.079200,17406079
2009-10-16,8.841315,9.147747,8.750892,9.042254,5.150738,23599004
2009-10-19,9.142723,9.268310,9.047277,9.157794,5.216553,9353087
2009-10-20,8.966902,9.087465,8.791080,8.976949,5.113540,9928585
2009-10-21,8.941784,9.042254,8.770986,8.770986,4.996216,5614838
2009-10-22,8.861409,8.861409,8.645399,8.700658,4.956155,6861187
2009-10-23,8.841315,8.901597,8.539906,8.565024,4.878895,7206963
2009-10-26,8.640376,8.640376,8.143052,8.298780,4.727233,9759181
2009-10-27,8.364085,8.374132,7.937089,7.937089,4.521204,14222824
2009-10-28,7.987324,8.067700,7.680892,8.067700,4.595603,11895949
2009-10-29,8.338967,8.635352,8.188263,8.539906,4.864585,10737786
2009-10-30,8.590141,8.635352,8.072723,8.112911,4.621357,9559717
2009-11-03,8.133005,8.539906,8.067700,8.529859,4.858863,8105345
2009-11-04,8.585118,8.695634,8.489672,8.615259,4.907511,3987080
2009-11-05,8.539906,8.590141,8.404273,8.464554,4.821663,2831904
2009-11-06,8.499719,8.539906,8.318874,8.338967,4.750126,2705895
2009-11-09,8.524836,8.539906,8.394226,8.489672,4.835971,6132806
2009-11-10,8.419343,8.539906,8.233474,8.514789,4.850278,7852532
2009-11-11,8.514789,8.595165,8.313850,8.414320,4.793048,5548549
2009-11-12,8.439437,8.439437,8.298780,8.389202,4.778740,12083867
2009-11-13,8.389202,8.474601,8.389202,8.444460,4.810218,9715984
2009-11-16,8.464554,8.534883,8.424367,8.489672,4.835971,7695072
2009-11-17,8.439437,8.489672,8.394226,8.454507,4.815939,4772592
2009-11-18,8.454507,8.459531,8.022489,8.022489,4.569849,21195289
2009-11-19,8.022489,8.022489,7.635681,7.786385,4.435359,24374762
2009-11-23,7.997371,8.163146,7.937089,7.987324,4.549818,15273093
2009-11-24,8.002395,8.173193,7.947136,8.122958,4.627080,14675698
2009-11-25,8.158122,8.293756,8.097841,8.293756,4.724370,13045153
2009-11-26,8.092817,8.138028,8.037559,8.057653,4.589881,3204355
2009-11-27,8.027512,8.138028,7.962207,8.138028,4.635665,6462857
2009-11-30,8.138028,8.268639,8.092817,8.263615,4.707203,6525164
2009-12-01,8.298780,8.464554,8.213381,8.449484,4.813079,18860053
2009-12-02,8.439437,8.524836,8.153099,8.263615,4.707203,18471676
2009-12-03,8.328921,8.328921,7.736150,7.786385,4.435359,31281933
2009-12-04,7.836620,7.952160,7.590470,7.650751,4.358098,19119634
