Date,Open,High,Low,Close,Adj Close,Volume
2021-02-22,8.920000,9.300000,8.670000,9.290000,6.453815,10507000
2021-02-23,9.500000,9.600000,9.100000,9.120000,6.335715,9243700
2021-02-24,9.160000,9.280000,9.070000,9.150000,6.356555,6550600
2021-02-25,9.180000,9.290000,9.000000,9.050000,6.287086,6054200
2021-02-26,9.150000,9.170000,8.900000,8.930000,6.203721,4849000
2021-03-01,9.050000,9.090000,8.820000,8.950000,6.217615,6578700
2021-03-02,8.970000,9.050000,8.510000,8.800000,6.113409,6141500
2021-03-03,8.900000,8.900000,8.180000,8.490000,5.898050,10191700
2021-03-04,8.510000,8.550000,8.090000,8.450000,5.870262,17915200
2021-03-05,8.400000,8.540000,8.300000,8.510000,5.911944,9965700
2021-03-08,8.400000,8.520000,8.350000,8.510000,5.911944,4979600
2021-03-09,8.450000,8.490000,8.260000,8.470000,5.884157,3953300
2021-03-10,8.500000,8.500000,8.200000,8.390000,5.828580,9782800
2021-03-11,8.450000,8.730000,8.310000,8.500000,5.904997,7448100
2021-03-12,8.460000,8.510000,8.360000,8.490000,5.898050,2243400
2021-03-15,8.450000,8.530000,8.360000,8.490000,5.898050,2556300
2021-03-16,8.490000,8.650000,8.470000,8.500000,5.904997,2252700
2021-03-17,8.510000,8.730000,8.450000,8.620000,5.988362,2550800
2021-03-18,8.600000,8.660000,8.420000,8.490000,5.898050,4666500
2021-03-19,8.530000,8.530000,8.390000,8.530000,5.925838,2795400
2021-03-22,8.440000,8.480000,8.310000,8.400000,5.835527,2194800
2021-03-23,8.400000,8.440000,8.240000,8.320000,5.779951,2289600
2021-03-24,8.380000,8.410000,8.310000,8.360000,5.807739,1764200
2021-03-25,8.500000,8.550000,8.300000,8.300000,5.766057,4809400
2021-03-26,8.450000,8.500000,8.310000,8.360000,5.807739,4067400
2021-03-29,8.360000,9.200000,8.360000,9.170000,6.370449,10506900
2021-03-30,9.150000,9.440000,9.000000,9.020000,6.266244,8874400
2021-03-31,9.050000,9.250000,9.050000,9.190000,6.384344,5409900
2021-04-01,9.300000,9.420000,9.020000,9.050000,6.287086,6402600
2021-04-05,9.180000,9.300000,9.170000,9.200000,6.391291,3784100
2021-04-06,9.220000,9.370000,9.210000,9.250000,6.426027,4143800
2021-04-07,9.340000,9.380000,9.260000,9.380000,6.516338,4412700
2021-04-08,9.390000,9.500000,9.300000,9.300000,6.460763,4841100
2021-04-09,9.300000,9.430000,9.160000,9.370000,6.509390,3099000
2021-04-12,9.380000,9.500000,9.320000,9.430000,6.551074,4062100
2021-04-13,9.430000,9.450000,9.310000,9.380000,6.516338,3709000
2021-04-14,9.370000,9.480000,9.300000,9.470000,6.578861,10782400
2021-04-15,9.530000,9.770000,9.530000,9.690000,6.731697,10601300
2021-04-16,9.690000,9.830000,9.470000,9.570000,6.648333,7175300
2021-04-19,9.680000,9.780000,9.620000,9.720000,6.752538,5841400
2021-04-20,9.790000,10.070000,9.650000,9.660000,6.710856,7337800
2021-04-22,9.820000,9.840000,9.540000,9.660000,6.710856,5257900
2021-04-23,9.750000,9.860000,9.680000,9.750000,6.773379,4640400
2021-04-26,9.910000,10.030000,9.830000,9.920000,6.891478,7569500
2021-04-27,9.980000,10.400000,9.950000,10.250000,7.120732,10525600
2021-04-28,10.250000,10.710000,10.250000,10.660000,7.405561,7548900
2021-04-29,10.900000,11.200000,10.520000,10.800000,7.502819,16410300
2021-04-30,10.750000,10.750000,10.490000,10.490000,7.287460,7332800
2021-05-03,10.540000,10.580000,10.170000,10.190000,7.114030,8011400
2021-05-04,10.230000,10.290000,9.810000,10.120000,7.065160,9051100
2021-05-05,10.190000,10.280000,9.910000,10.100000,7.051198,15848800
2021-05-06,10.300000,10.500000,10.200000,10.500000,7.330453,10379600
2021-05-07,10.660000,10.850000,10.500000,10.620000,7.414231,9213900
2021-05-10,11.000000,11.070000,10.410000,10.620000,7.414231,13198600
2021-05-11,10.550000,10.900000,10.320000,10.900000,7.609708,8752700
2021-05-12,10.250000,10.470000,10.040000,10.040000,7.009310,142911300
