Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.750000,1.800000,1.670000,1.670000,-30.293690,2964000
2000-01-04,1.675000,1.675000,1.560000,1.605000,-29.114599,4315000
2000-01-05,1.600000,1.649000,1.550000,1.620000,-29.386696,3023000
2000-01-06,1.630000,1.699000,1.590000,1.590000,-28.842499,3209000
2000-01-07,1.610000,1.620000,1.575000,1.575000,-28.570396,1814000
2000-01-10,1.630000,1.700000,1.601000,1.620000,-29.386696,4866000
2000-01-11,1.635000,1.650000,1.480000,1.550000,-28.116894,3316000
2000-01-12,1.560000,1.600000,1.540000,1.540000,-27.935503,2026000
2000-01-13,1.639000,1.639000,1.570000,1.600000,-29.023897,1354000
2000-01-14,1.600000,1.650000,1.580000,1.610000,-29.205303,1955000
2000-01-17,1.600000,1.620000,1.580000,1.610000,-29.205303,934000
2000-01-18,1.630000,1.635000,1.590000,1.635000,-29.658787,1539000
2000-01-19,1.639000,1.650000,1.590000,1.600000,-29.023897,1222000
2000-01-20,1.640000,1.640000,1.600000,1.631000,-29.586237,1459000
2000-01-21,1.650000,1.650000,1.590000,1.650000,-29.930906,1211000
2000-01-24,1.675000,1.685000,1.620000,1.620000,-29.386696,1526000
2000-01-25,1.620000,1.620000,1.620000,1.620000,-29.386696,0
2000-01-26,1.620000,1.620000,1.589000,1.620000,-29.386696,939000
2000-01-27,1.625000,1.625000,1.585000,1.610000,-29.205303,2246000
2000-01-28,1.600000,1.600000,1.520000,1.540000,-27.935503,2080000
2000-01-31,1.549000,1.549000,1.440000,1.460000,-26.484308,2642000
2000-02-01,1.500000,1.520000,1.435000,1.461000,-26.502447,3847000
2000-02-02,1.486000,1.490000,1.460000,1.470000,-26.665710,530000
2000-02-03,1.500000,1.529000,1.450000,1.486000,-26.955946,2307000
2000-02-04,1.548000,1.550000,1.450000,1.531000,-27.772245,5575000
2000-02-07,1.531000,1.540000,1.501000,1.501000,-27.228046,2003000
2000-02-08,1.550000,1.550000,1.471000,1.471000,-26.683847,3162000
2000-02-09,1.500000,1.500000,1.439000,1.450000,-26.302914,1731000
2000-02-10,1.451000,1.500000,1.435000,1.500000,-27.209908,2519000
2000-02-11,1.460000,1.635000,1.460000,1.578000,-28.624819,19647000
2000-02-14,1.580000,1.620000,1.560000,1.576000,-28.588537,7407000
2000-02-15,1.590000,1.639000,1.510000,1.620000,-29.386696,9993000
2000-02-16,1.648000,1.690000,1.600000,1.650000,-29.930906,4586000
2000-02-17,1.662000,1.849000,1.662000,1.700000,-30.837898,10985000
2000-02-18,1.760000,1.775000,1.600000,1.690000,-30.656494,9190000
2000-02-21,1.680000,1.750000,1.650000,1.730000,-31.382092,2724000
2000-02-22,1.770000,1.770000,1.650000,1.660000,-30.112297,2090000
2000-02-23,1.700000,1.719000,1.580000,1.624000,-29.459244,2520000
2000-02-24,1.624000,1.660000,1.600000,1.615000,-29.296003,2419000
2000-02-25,1.660000,1.660000,1.600000,1.612000,-29.241573,1603000
2000-02-28,1.600000,1.621000,1.575000,1.608000,-29.169024,2112000
2000-02-29,1.630000,1.665000,1.600000,1.610000,-29.205303,2342000
2000-03-01,1.620000,1.650000,1.610000,1.610000,-29.205303,1348000
2000-03-02,1.630000,1.630000,1.586000,1.590000,-28.842499,2062000
2000-03-03,1.610000,1.615000,1.565000,1.600000,-29.023897,1850000
2000-03-06,1.600000,1.600000,1.600000,1.600000,-29.023897,0
2000-03-07,1.600000,1.600000,1.600000,1.600000,-29.023897,0
2000-03-08,1.600000,1.614000,1.600000,1.600000,-29.023897,964000
2000-03-09,1.600000,1.640000,1.600000,1.615000,-29.296003,841000
2000-03-10,1.624000,1.640000,1.600000,1.620000,-29.386696,1139000
2000-03-13,1.620000,1.620000,1.620000,1.620000,-29.386696,0
2000-03-14,1.600000,1.610000,1.570000,1.590000,-28.842499,2114000
2000-03-15,1.599000,1.600000,1.540000,1.600000,-29.023897,1015000
2000-03-16,1.600000,1.640000,1.580000,1.600000,-29.023897,1516000
2000-03-17,1.600000,1.601000,1.575000,1.600000,-29.023897,5022000
2000-03-20,1.600000,1.600000,1.510000,1.521000,-27.590841,7204000
2000-03-21,1.520000,1.600000,1.520000,1.580000,-28.661100,5139000
2000-03-22,1.590000,1.650000,1.580000,1.600000,-29.023897,4806000
