Date,Open,High,Low,Close,Adj Close,Volume
2000-01-17,0.600000,0.600000,0.600000,0.600000,0.370714,32000
2000-01-18,null,null,null,null,null,null
2000-01-19,null,null,null,null,null,null
2000-01-20,0.600000,0.600000,0.600000,0.600000,0.370714,1160000
2000-01-21,null,null,null,null,null,null
2000-01-24,0.632500,0.687500,0.632500,0.687500,0.424777,16000
2000-01-25,null,null,null,null,null,null
2000-01-26,null,null,null,null,null,null
2000-01-27,null,null,null,null,null,null
2000-01-28,null,null,null,null,null,null
2000-01-31,0.675000,0.675000,0.675000,0.675000,0.417054,8000
2000-02-01,null,null,null,null,null,null
2000-02-02,0.675000,0.675000,0.650000,0.650000,0.401607,24000
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,null,null,null,null,null,null
2000-02-10,null,null,null,null,null,null
2000-02-11,0.685000,0.685000,0.685000,0.685000,0.423232,8000
2000-02-14,0.687500,0.687500,0.687500,0.687500,0.424777,8000
2000-02-15,0.687500,0.700000,0.687500,0.700000,0.432500,288000
2000-02-16,0.687500,0.687500,0.687500,0.687500,0.424777,120000
2000-02-17,null,null,null,null,null,null
2000-02-18,null,null,null,null,null,null
2000-02-21,null,null,null,null,null,null
2000-02-22,0.700000,0.700000,0.700000,0.700000,0.432500,32000
2000-02-23,null,null,null,null,null,null
2000-02-24,null,null,null,null,null,null
2000-02-25,0.687500,0.687500,0.687500,0.687500,0.424777,8000
2000-02-28,null,null,null,null,null,null
2000-02-29,0.725000,0.725000,0.725000,0.725000,0.447947,96000
2000-03-01,null,null,null,null,null,null
2000-03-02,null,null,null,null,null,null
2000-03-03,0.712500,0.712500,0.712500,0.712500,0.440223,8000
2000-03-06,null,null,null,null,null,null
2000-03-07,null,null,null,null,null,null
2000-03-08,0.662500,0.700000,0.662500,0.700000,0.432500,16000
2000-03-09,null,null,null,null,null,null
2000-03-10,0.700000,0.700000,0.700000,0.700000,0.432500,8000
2000-03-13,null,null,null,null,null,null
2000-03-14,null,null,null,null,null,null
2000-03-15,null,null,null,null,null,null
2000-03-16,null,null,null,null,null,null
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,0.697500,0.697500,0.642500,0.642500,0.396973,256000
2000-03-22,0.700000,0.700000,0.697500,0.697500,0.430955,232000
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,null,null,null,null,null,null
2000-03-28,0.675000,0.675000,0.675000,0.675000,0.417054,8000
2000-03-29,0.675000,0.675000,0.675000,0.675000,0.417054,16000
2000-03-30,null,null,null,null,null,null
2000-03-31,null,null,null,null,null,null
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,null,null,null,null,null,null
2000-04-06,null,null,null,null,null,null
2000-04-07,0.657500,0.657500,0.630000,0.630000,0.389250,16000
2000-04-10,0.632500,0.632500,0.612500,0.625000,0.386161,96000
2000-04-11,0.650000,0.650000,0.600000,0.625000,0.386161,96000
2000-04-12,null,null,null,null,null,null
2000-04-13,null,null,null,null,null,null
2000-04-14,0.602500,0.602500,0.602500,0.602500,0.372259,8000
2000-04-17,0.562500,0.562500,0.562500,0.562500,0.347545,8000
2000-04-18,null,null,null,null,null,null
2000-04-19,null,null,null,null,null,null
2000-04-20,0.550000,0.550000,0.550000,0.550000,0.339822,120000
2000-04-21,null,null,null,null,null,null
2000-04-24,0.552500,0.552500,0.552500,0.552500,0.341366,40000
2000-04-25,0.600000,0.600000,0.600000,0.600000,0.370714,8000
2000-04-26,null,null,null,null,null,null
2000-04-27,0.545000,0.545000,0.545000,0.545000,0.336732,8000
2000-04-28,0.575000,0.575000,0.575000,0.575000,0.355268,8000
2000-05-01,null,null,null,null,null,null
2000-05-02,null,null,null,null,null,null
2000-05-03,null,null,null,null,null,null
2000-05-04,null,null,null,null,null,null
2000-05-05,0.587500,0.597500,0.587500,0.597500,0.369170,112000
2000-05-08,null,null,null,null,null,null
2000-05-09,null,null,null,null,null,null
2000-05-10,null,null,null,null,null,null
2000-05-11,null,null,null,null,null,null
2000-05-12,null,null,null,null,null,null
2000-05-15,null,null,null,null,null,null
2000-05-16,null,null,null,null,null,null
2000-05-17,null,null,null,null,null,null
2000-05-18,null,null,null,null,null,null
2000-05-19,null,null,null,null,null,null
2000-05-22,null,null,null,null,null,null
2000-05-23,null,null,null,null,null,null
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
2000-05-26,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,0.587500,0.587500,0.587500,0.587500,0.362991,48000
2000-05-31,0.587500,0.587500,0.587500,0.587500,0.362991,40000
2000-06-01,0.612500,0.612500,0.612500,0.612500,0.378438,1632000
2000-06-02,0.637500,0.637500,0.637500,0.637500,0.393884,8000
2000-06-05,null,null,null,null,null,null
2000-06-06,null,null,null,null,null,null
2000-06-07,null,null,null,null,null,null
2000-06-08,null,null,null,null,null,null
2000-06-09,null,null,null,null,null,null
2000-06-12,null,null,null,null,null,null
2000-06-13,null,null,null,null,null,null
2000-06-14,null,null,null,null,null,null
2000-06-15,null,null,null,null,null,null
2000-06-16,null,null,null,null,null,null
2000-06-19,null,null,null,null,null,null
2000-06-20,null,null,null,null,null,null
2000-06-21,0.687500,0.687500,0.687500,0.687500,0.424777,8000
2000-06-22,null,null,null,null,null,null
2000-06-23,null,null,null,null,null,null
2000-06-26,null,null,null,null,null,null
2000-06-27,0.675000,0.675000,0.675000,0.675000,0.417054,8000
2000-06-28,0.675000,0.675000,0.675000,0.675000,0.417054,8000
2000-06-29,0.675000,0.675000,0.675000,0.675000,0.417054,40000
2000-06-30,null,null,null,null,null,null
2000-07-03,0.675000,0.675000,0.675000,0.675000,0.417054,80000
2000-07-04,0.675000,0.675000,0.675000,0.675000,0.417054,8000
2000-07-05,0.715000,0.715000,0.715000,0.715000,0.441768,8000
2000-07-06,null,null,null,null,null,null
2000-07-07,0.687500,0.725000,0.687500,0.725000,0.447947,40000
2000-07-10,0.745000,0.745000,0.700000,0.700000,0.432500,48000
2000-07-11,null,null,null,null,null,null
2000-07-12,0.712500,0.712500,0.697500,0.697500,0.430955,104000
2000-07-13,0.677500,0.677500,0.677500,0.677500,0.418598,8000
2000-07-14,0.677500,0.677500,0.677500,0.677500,0.418598,16000
2000-07-17,null,null,null,null,null,null
2000-07-18,null,null,null,null,null,null
2000-07-19,null,null,null,null,null,null
2000-07-20,0.662500,0.662500,0.650000,0.650000,0.401607,16000
2000-07-21,0.652500,0.652500,0.650000,0.650000,0.401607,32000
2000-07-24,null,null,null,null,null,null
2000-07-25,null,null,null,null,null,null
2000-07-26,0.650000,0.650000,0.625000,0.625000,0.386161,48000
2000-07-27,null,null,null,null,null,null
2000-07-28,0.625000,0.625000,0.625000,0.625000,0.386161,16000
2000-07-31,null,null,null,null,null,null
2000-08-01,0.662500,0.662500,0.662500,0.662500,0.409331,24000
2000-08-02,null,null,null,null,null,null
2000-08-03,0.662500,0.662500,0.662500,0.662500,0.409331,24000
2000-08-04,0.650000,0.650000,0.650000,0.650000,0.401607,8000
2000-08-07,null,null,null,null,null,null
2000-08-08,0.652500,0.652500,0.652500,0.652500,0.403152,72000
2000-08-09,0.650000,0.650000,0.650000,0.650000,0.401607,32000
2000-08-10,null,null,null,null,null,null
2000-08-11,0.650000,0.650000,0.650000,0.650000,0.401607,48000
2000-08-14,null,null,null,null,null,null
2000-08-15,null,null,null,null,null,null
2000-08-16,0.650000,0.650000,0.650000,0.650000,0.401607,40000
2000-08-17,0.650000,0.650000,0.650000,0.650000,0.401607,64000
2000-08-18,null,null,null,null,null,null
2000-08-21,0.650000,0.650000,0.650000,0.650000,0.401607,8000
2000-08-22,null,null,null,null,null,null
2000-08-23,0.650000,0.650000,0.650000,0.650000,0.401607,8000
2000-08-24,null,null,null,null,null,null
2000-08-25,null,null,null,null,null,null
2000-08-28,0.652500,0.652500,0.650000,0.650000,0.401607,24000
2000-08-29,0.637500,0.637500,0.625000,0.625000,0.386161,24000
2000-08-30,0.625000,0.625000,0.625000,0.625000,0.386161,72000
2000-08-31,null,null,null,null,null,null
2000-09-01,0.615000,0.615000,0.615000,0.615000,0.379982,16000
2000-09-04,0.627500,0.627500,0.627500,0.627500,0.387706,424000
2000-09-05,null,null,null,null,null,null
2000-09-06,0.625000,0.625000,0.625000,0.625000,0.386161,64000
2000-09-07,null,null,null,null,null,null
2000-09-08,null,null,null,null,null,null
2000-09-11,null,null,null,null,null,null
2000-09-12,null,null,null,null,null,null
2000-09-13,0.625000,0.625000,0.625000,0.625000,0.386161,80000
2000-09-14,null,null,null,null,null,null
2000-09-15,null,null,null,null,null,null
2000-09-18,null,null,null,null,null,null
2000-09-19,null,null,null,null,null,null
2000-09-20,null,null,null,null,null,null
2000-09-21,null,null,null,null,null,null
2000-09-22,0.612500,0.612500,0.612500,0.612500,0.378438,24000
2000-09-25,0.625000,0.625000,0.625000,0.625000,0.386161,32000
2000-09-26,0.625000,0.625000,0.625000,0.625000,0.386161,32000
2000-09-27,null,null,null,null,null,null
2000-09-28,null,null,null,null,null,null
2000-09-29,null,null,null,null,null,null
2000-10-02,null,null,null,null,null,null
2000-10-03,null,null,null,null,null,null
2000-10-04,null,null,null,null,null,null
2000-10-05,null,null,null,null,null,null
2000-10-06,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,null,null,null,null,null,null
2000-10-11,null,null,null,null,null,null
2000-10-12,null,null,null,null,null,null
2000-10-13,null,null,null,null,null,null
2000-10-16,null,null,null,null,null,null
2000-10-17,null,null,null,null,null,null
2000-10-18,0.600000,0.600000,0.592500,0.592500,0.366081,24000
2000-10-19,null,null,null,null,null,null
2000-10-20,null,null,null,null,null,null
2000-10-23,null,null,null,null,null,null
2000-10-24,null,null,null,null,null,null
2000-10-25,null,null,null,null,null,null
2000-10-26,null,null,null,null,null,null
2000-10-27,0.622500,0.622500,0.622500,0.622500,0.384616,240000
2000-10-30,0.600000,0.600000,0.570000,0.570000,0.352179,32000
2000-10-31,0.540000,0.540000,0.540000,0.540000,0.333643,232000
2000-11-01,null,null,null,null,null,null
2000-11-02,null,null,null,null,null,null
2000-11-03,null,null,null,null,null,null
2000-11-06,null,null,null,null,null,null
2000-11-07,0.550000,0.550000,0.550000,0.550000,0.339822,8000
2000-11-08,0.550000,0.600000,0.550000,0.600000,0.370714,136000
2000-11-09,0.587500,0.587500,0.587500,0.587500,0.362991,40000
2000-11-10,0.587500,0.587500,0.587500,0.587500,0.362991,8000
2000-11-13,0.587500,0.587500,0.587500,0.587500,0.362991,96000
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,null,null,null,null,null,null
2000-11-17,0.617500,0.617500,0.617500,0.617500,0.381527,8000
2000-11-20,null,null,null,null,null,null
2000-11-21,0.625000,0.625000,0.625000,0.625000,0.386161,56000
2000-11-22,null,null,null,null,null,null
2000-11-23,null,null,null,null,null,null
2000-11-24,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,null,null,null,null,null,null
2000-11-29,null,null,null,null,null,null
2000-11-30,null,null,null,null,null,null
2000-12-01,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,0.637500,0.637500,0.637500,0.637500,0.393884,40000
2000-12-06,0.662500,0.662500,0.662500,0.662500,0.409331,56000
2000-12-07,0.675000,0.675000,0.675000,0.675000,0.417054,24000
2000-12-08,null,null,null,null,null,null
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,null,null,null,null,null,null
2000-12-15,null,null,null,null,null,null
2000-12-18,null,null,null,null,null,null
2000-12-19,null,null,null,null,null,null
2000-12-20,null,null,null,null,null,null
2000-12-21,0.627500,0.627500,0.627500,0.627500,0.387706,8000
2000-12-22,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,0.715000,0.715000,0.707500,0.710000,0.438679,24000
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,null,null,null,null,null,null
2001-01-03,null,null,null,null,null,null
2001-01-04,0.700000,0.710000,0.700000,0.710000,0.438679,24000
2001-01-05,null,null,null,null,null,null
2001-01-08,null,null,null,null,null,null
2001-01-09,null,null,null,null,null,null
2001-01-10,0.762500,0.775000,0.762500,0.775000,0.478840,16000
2001-01-11,0.775000,0.775000,0.775000,0.775000,0.478840,16000
2001-01-12,null,null,null,null,null,null
2001-01-15,null,null,null,null,null,null
2001-01-16,null,null,null,null,null,null
2001-01-17,null,null,null,null,null,null
2001-01-18,0.800000,0.800000,0.800000,0.800000,0.494286,8000
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,0.800000,0.800000,0.800000,0.800000,0.494286,48000
2001-01-24,0.800000,0.800000,0.800000,0.800000,0.494286,32000
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,0.825000,0.825000,0.825000,0.825000,0.509732,32000
2001-01-30,0.800000,0.825000,0.800000,0.825000,0.509732,72000
2001-01-31,0.825000,0.825000,0.800000,0.800000,0.494286,88000
2001-02-01,0.805000,0.805000,0.805000,0.805000,0.497375,16000
2001-02-02,0.825000,0.825000,0.825000,0.825000,0.509732,8000
2001-02-05,null,null,null,null,null,null
2001-02-06,0.825000,0.825000,0.825000,0.825000,0.509732,80000
2001-02-07,null,null,null,null,null,null
2001-02-08,null,null,null,null,null,null
2001-02-09,null,null,null,null,null,null
2001-02-12,0.825000,0.837500,0.825000,0.837500,0.517456,16000
2001-02-13,0.837500,0.837500,0.837500,0.837500,0.517456,8000
2001-02-14,null,null,null,null,null,null
2001-02-15,0.862500,0.862500,0.862500,0.862500,0.532902,40000
2001-02-16,null,null,null,null,null,null
2001-02-19,0.862500,0.862500,0.862500,0.862500,0.532902,8000
2001-02-20,null,null,null,null,null,null
2001-02-21,0.802500,0.825000,0.802500,0.802500,0.495831,96000
2001-02-22,0.800000,0.800000,0.800000,0.800000,0.494286,128000
2001-02-23,0.800000,0.800000,0.800000,0.800000,0.494286,80000
2001-02-26,null,null,null,null,null,null
2001-02-27,null,null,null,null,null,null
2001-02-28,null,null,null,null,null,null
2001-03-01,null,null,null,null,null,null
