Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.786739,20.980940,19.237108,19.636841,8.382723,2336
2000-01-04,19.387009,19.387009,18.487612,18.687477,7.977452,1374
2000-01-05,18.237778,19.486940,18.232782,19.436975,8.297402,1625
2000-01-06,18.737444,19.486940,18.637510,18.987276,8.105433,1539
2000-01-07,19.486940,19.686808,19.037243,19.287075,8.233413,1337
2000-01-10,19.486940,19.986607,19.486940,19.831711,8.465911,2186
2000-01-11,19.736774,19.736774,18.742439,19.037243,8.126761,1525
2000-01-12,18.887342,18.887342,18.237778,18.812393,8.030779,940
2000-01-13,19.132179,19.237108,18.087879,18.382681,7.847338,712
2000-01-14,18.587543,18.837378,17.838045,17.987946,7.678831,1813
2000-01-17,18.487612,18.487612,17.738113,18.287745,7.806811,737
2000-01-18,18.487612,18.487612,17.788080,18.337711,7.828140,1209
2000-01-19,18.387678,18.987276,18.137844,18.237778,7.785480,1696
2000-01-20,18.387678,18.887342,17.788080,18.287745,7.806811,2844
2000-01-21,18.387678,18.487612,16.938648,16.988615,7.252227,2400
2000-01-24,17.238447,17.788080,16.988615,17.088549,7.294890,1412
2000-01-25,17.088549,17.088549,17.088549,17.088549,7.294890,0
2000-01-26,17.088549,17.493277,17.088549,17.188480,7.337547,1117
2000-01-27,17.962963,17.962963,17.288416,17.338381,7.401539,1103
2000-01-28,17.738113,17.738113,16.438984,16.488951,7.038929,1830
2000-01-31,16.488951,16.488951,15.789419,16.039251,6.846958,1660
2000-02-01,16.189152,16.339050,15.739452,16.039251,6.846958,1116
2000-02-02,16.239119,16.339050,15.939319,16.144180,6.891749,505
2000-02-03,16.239119,16.888681,16.239119,16.888681,7.209569,2671
2000-02-04,17.138515,17.438314,17.088549,17.388348,7.422870,3216
2000-02-07,17.588215,17.688147,16.788750,17.088549,7.294890,922
2000-02-08,17.463297,17.588215,17.088549,17.463297,7.454864,1826
2000-02-09,17.638180,17.638180,16.838717,17.138515,7.316220,1204
2000-02-10,17.138515,17.188480,16.738783,17.188480,7.337547,1144
2000-02-11,16.988615,17.138515,16.089218,16.389017,6.996267,1356
2000-02-14,16.389017,16.788750,15.889352,15.989285,6.825627,835
2000-02-15,15.889352,15.989285,15.339720,15.989285,6.825627,1388
2000-02-16,16.264101,16.264101,15.739452,16.039251,6.846958,1848
2000-02-17,15.989285,16.339050,15.739452,16.079226,6.864022,924
2000-02-18,15.889352,16.039251,15.539586,15.739452,6.718976,463
2000-02-21,15.734456,16.239119,15.494617,16.224129,6.925879,539
2000-02-22,16.239119,16.588882,15.839386,15.989285,6.825627,1310
2000-02-23,15.989285,16.229124,15.939319,16.039251,6.846958,740
2000-02-24,16.039251,16.488951,15.589553,15.729459,6.714710,1575
2000-02-25,16.029259,16.029259,15.339720,15.484623,6.610193,1301
2000-02-28,15.139854,15.489620,15.044918,15.239787,6.505675,451
2000-02-29,15.489620,15.489620,14.989955,15.289754,6.527006,740
2000-03-01,15.139854,15.639519,15.139854,15.539586,6.633655,1068
2000-03-02,15.539586,15.539586,14.890022,15.039921,6.420356,1093
2000-03-03,15.239787,15.689486,15.039921,15.689486,6.697647,1361
2000-03-06,15.689486,15.689486,15.689486,15.689486,6.697647,0
2000-03-07,15.689486,15.689486,15.689486,15.689486,6.697647,0
2000-03-08,15.389687,15.389687,14.989955,15.189821,6.484345,1207
2000-03-09,15.489620,16.239119,15.289754,16.239119,6.932279,1432
2000-03-10,16.738783,17.233452,16.488951,16.588882,7.081588,1733
2000-03-13,16.488951,16.488951,15.739452,16.339050,6.974936,1615
2000-03-14,16.938648,16.938648,15.489620,15.539586,6.633655,707
2000-03-15,15.589553,15.739452,15.089888,15.489620,6.612327,629
2000-03-16,15.889352,16.239119,15.539586,16.239119,6.932279,1840
2000-03-17,16.488951,16.488951,15.889352,15.989285,6.825627,1278
2000-03-20,15.989285,16.039251,15.489620,15.689486,6.697647,421
2000-03-21,15.689486,15.939319,15.439653,15.439653,6.590996,1362
2000-03-22,15.989285,16.189152,15.739452,15.814402,6.750972,716
2000-03-23,15.769432,16.339050,15.739452,15.899345,6.787232,1075
2000-03-24,15.864369,16.289083,15.784422,15.989285,6.825627,581
2000-03-27,16.389017,16.538918,16.039251,16.538918,7.060257,675
2000-03-28,16.139185,16.389017,15.889352,15.919332,6.795763,1272
2000-03-29,16.039251,16.084221,15.389687,15.689486,6.697647,654
2000-03-30,15.439653,15.589553,14.989955,15.189821,6.484345,1436
2000-03-31,15.389687,15.739452,15.339720,15.489620,6.612327,2094
2000-04-03,15.489620,15.639519,15.239787,15.314737,6.537672,2401
2000-04-04,15.539586,15.539586,14.740122,15.239787,6.505675,1701
2000-04-05,14.989955,15.189821,14.740122,14.989955,6.399026,991
2000-04-06,14.994951,15.389687,14.690156,15.139854,6.463016,1069
2000-04-07,15.139854,15.239787,14.790089,14.939988,6.377694,462
2000-04-10,14.939988,14.944985,14.440323,14.490290,6.185724,553
2000-04-11,14.345387,14.840055,13.990624,14.240457,6.079075,774
2000-04-12,14.490290,14.540256,13.990624,14.090557,6.015083,1225
2000-04-13,14.490290,14.490290,13.490959,13.540926,5.780454,1147
2000-04-14,13.640859,13.640859,12.791428,12.991294,5.545822,1748
2000-04-17,12.836398,13.241127,12.191830,12.741461,5.439171,1232
2000-04-18,12.741461,12.991294,12.491629,12.886364,5.501028,1437
2000-04-19,12.991294,12.991294,12.191830,12.291763,5.247201,545
2000-04-20,12.391696,12.936331,12.341729,12.936331,5.522359,476
2000-04-21,12.936331,12.936331,12.936331,12.936331,5.522359,0
2000-04-24,12.491629,12.741461,12.491629,12.541595,5.353851,840
2000-04-25,12.986297,13.191160,12.891361,13.141194,5.609813,656
2000-04-26,12.991294,12.991294,12.691495,12.986297,5.543689,557
2000-04-27,12.741461,13.241127,12.241796,13.091227,5.588482,759
2000-04-28,13.490959,13.490959,13.186163,13.341060,5.695132,1895
2000-05-01,13.341060,13.341060,13.341060,13.341060,5.695132,0
2000-05-02,13.490959,14.240457,13.490959,13.890691,5.929764,1030
2000-05-03,13.790758,13.790758,13.341060,13.341060,5.695132,202
2000-05-04,13.490959,13.740792,13.391026,13.490959,5.759121,390
2000-05-05,13.490959,14.090557,13.490959,13.790758,5.887105,606
2000-05-08,13.990624,13.990624,13.391026,13.490959,5.759121,715
2000-05-09,13.840725,13.840725,13.341060,13.590892,5.801783,1378
2000-05-10,13.291093,13.940658,13.291093,13.695822,5.846577,1210
2000-05-11,13.990624,14.290423,13.840725,14.000618,5.976690,892
2000-05-12,14.240457,14.390357,13.840725,14.145521,6.038548,935
2000-05-15,14.140524,14.989955,13.890691,14.790089,6.313705,957
2000-05-16,14.939988,15.139854,14.790089,15.039921,6.420356,1133
2000-05-17,14.989955,14.989955,14.390357,14.690156,6.271045,547
2000-05-18,14.490290,14.495286,14.140524,14.275434,6.094007,208
2000-05-19,13.890691,13.940658,13.590892,13.690825,5.844443,973
2000-05-22,13.490959,13.490959,12.841394,13.341060,5.695132,1286
2000-05-23,13.391026,13.490959,13.091227,13.091227,5.588482,378
2000-05-24,13.091227,13.740792,12.991294,13.640859,5.823113,850
2000-05-25,13.640859,13.890691,13.440993,13.740792,5.865775,832
2000-05-26,13.840725,14.290423,13.720805,14.290423,6.100404,1082
2000-05-29,14.640189,14.640189,14.245454,14.250450,6.083340,363
2000-05-30,14.490290,15.039921,14.240457,14.790089,6.313705,1173
2000-05-31,14.740122,14.989955,14.240457,14.530263,6.202787,1000
2000-06-01,14.590223,15.039921,14.590223,14.740122,6.292374,1289
2000-06-02,15.239787,15.489620,14.989955,14.989955,6.399026,2163
2000-06-05,14.989955,15.489620,14.989955,15.189821,6.484345,952
2000-06-06,15.189821,15.189821,15.189821,15.189821,6.484345,0
2000-06-07,14.989955,15.784422,14.989955,15.639519,6.676316,3136
2000-06-08,15.939319,16.488951,15.789419,16.239119,6.932279,2165
2000-06-09,16.488951,16.488951,15.989285,16.339050,6.974936,1921
2000-06-12,16.339050,16.488951,16.139185,16.289083,6.953606,790
2000-06-13,16.289083,16.788750,16.289083,16.748775,7.149845,1840
2000-06-14,16.988615,17.188480,16.738783,17.038582,7.273559,1878
2000-06-15,16.488951,17.888014,16.488951,17.733116,7.570047,2092
2000-06-16,17.488281,18.237778,17.488281,18.062897,7.710825,2303
2000-06-19,18.087879,19.237108,17.987946,18.992273,8.107564,3036
2000-06-20,18.992273,19.002266,18.337711,18.687477,7.977452,1511
2000-06-21,18.737444,19.387009,18.737444,19.222118,8.205685,2268
2000-06-22,19.222118,19.222118,19.222118,19.222118,8.205685,0
