Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.758318,7.758318,7.005253,7.162872,6.067581,1121444
2000-01-04,6.830122,6.830122,6.304728,6.304728,5.340658,1432068
2000-01-05,6.453590,6.593695,6.217162,6.541155,5.540932,1100888
2000-01-06,6.479859,6.479859,6.304728,6.330998,5.362911,523036
2000-01-07,6.558669,6.567425,6.348511,6.523642,5.526098,480782
2000-01-10,6.611208,6.698774,6.584938,6.584938,5.578020,432818
2000-01-11,6.733800,6.733800,6.225919,6.225919,5.273900,268370
2000-01-12,6.322241,6.401050,6.217162,6.260945,5.303569,447664
2000-01-13,6.479859,6.567425,6.129597,6.304728,5.340658,425966
2000-01-14,6.304728,6.479859,6.129597,6.252189,5.296153,422540
2000-01-17,6.129597,6.479859,6.129597,6.392294,5.414834,278648
2000-01-18,6.304728,6.567425,6.304728,6.567425,5.563184,485350
2000-01-19,6.488616,6.795096,6.348511,6.348511,5.377747,847364
2000-01-20,6.523642,6.523642,6.374781,6.436077,5.451921,427108
2000-01-21,6.436077,6.567425,6.129597,6.567425,5.563184,440812
2000-01-24,6.558669,6.830122,6.392294,6.523642,5.526098,532172
2000-01-25,6.523642,6.523642,6.523642,6.523642,5.526098,0
2000-01-26,6.698774,6.742556,6.567425,6.611208,5.600274,440812
2000-01-27,6.873905,6.970227,6.786339,6.838879,5.793132,1030084
2000-01-28,6.961471,7.092819,6.821366,6.873905,5.822803,669212
2000-01-31,7.005253,7.416812,6.830122,7.259194,6.149176,1195674
2000-02-01,7.408056,7.408056,6.830122,7.092819,6.008242,566432
2000-02-02,7.092819,7.267950,7.092819,7.259194,6.149176,540166
2000-02-03,7.259194,7.311733,7.005253,7.005253,5.934064,633810
2000-02-04,7.119089,7.180385,7.005253,7.014010,5.941482,396274
2000-02-07,7.092819,7.250437,7.092819,7.241681,6.134339,770850
2000-02-08,7.311733,7.530647,7.311733,7.399299,6.267856,682916
2000-02-09,7.443082,7.504378,7.355516,7.399299,6.267856,366582
2000-02-10,7.399299,7.837127,7.399299,7.705779,6.527472,855358
