Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,8.015394,8.604762,7.925811,8.604762,5.351974,19975871
2009-12-18,8.694346,8.699061,8.321865,8.321865,5.176018,2686991
2009-12-21,8.340725,8.340725,7.982390,8.109693,5.044051,2410636
2009-12-22,8.199277,8.213422,8.043684,8.156843,5.073379,1205105
2009-12-23,8.109693,8.251141,8.062544,8.156843,5.073379,220363
2009-12-24,8.156843,8.156843,8.156843,8.156843,5.073379,0
2009-12-28,8.133268,8.378445,8.109693,8.345440,5.190682,600644
2009-12-29,8.345440,8.345440,8.345440,8.345440,5.190682,0
2009-12-30,8.486888,8.670771,8.463314,8.670771,5.393031,626519
2010-01-04,8.491603,8.722635,8.491603,8.534038,5.307986,492053
2010-01-05,8.581187,8.717920,8.416164,8.486888,5.278659,290353
2010-01-06,8.486888,8.934807,8.486888,8.793359,5.469278,811039
2010-01-07,8.727350,8.835794,8.538753,8.821649,5.486873,798313
2010-01-08,8.637766,9.378012,8.637766,9.000817,5.598312,2249022
2010-01-11,9.062111,9.184699,8.953667,9.076256,5.645234,305200
2010-01-12,9.076256,9.660908,9.066826,9.241278,5.747873,761621
2010-01-13,9.241278,9.264853,9.052681,9.264853,5.762537,333620
2010-01-14,9.274283,9.642048,9.274283,9.429876,5.865178,80806
2010-01-15,9.453451,9.510030,9.293143,9.293143,5.780133,282506
2010-01-18,9.510030,9.510030,9.354437,9.359152,5.821188,109651
2010-01-19,9.406301,9.500600,9.354437,9.434591,5.868111,153978
2010-01-20,9.429876,9.472310,9.293143,9.312002,5.791863,2272352
2010-01-21,9.208274,9.425161,9.146980,9.250708,5.753738,191731
2010-01-22,9.236563,9.250708,9.146980,9.194129,5.718547,752926
2010-01-26,9.194129,9.288428,9.142265,9.142265,5.686289,911994
2010-01-27,9.194129,9.194129,8.958382,9.137550,5.683358,62567
2010-01-28,9.024391,9.227134,9.024391,9.194129,5.718547,37328
2010-01-29,9.222419,9.500600,9.189414,9.189414,5.715616,340407
2010-02-01,9.184699,9.184699,9.029106,9.047966,5.627637,148040
2010-02-02,9.029106,9.029106,8.911233,8.911233,5.542593,323015
2010-02-03,9.014961,9.047966,8.887658,8.906518,5.539660,65960
2010-02-04,8.915948,9.000817,8.378445,8.453884,5.258132,458118
2010-02-05,8.453884,8.618907,8.114408,8.340725,5.187749,418033
2010-02-08,8.364300,8.963097,8.203992,8.430309,5.243468,464269
2010-02-09,8.524608,8.793359,8.486888,8.722635,5.425290,341255
2010-02-10,8.717920,9.052681,8.717920,8.930092,5.554323,513898
2010-02-11,8.934807,9.128120,8.849939,8.849939,5.504470,333620
2010-02-12,8.986672,9.038536,8.717920,8.722635,5.425290,35631
2010-02-17,9.029106,9.038536,8.915948,8.958382,5.571918,261509
2010-02-18,8.840509,9.429876,8.703775,9.382727,5.835852,224181
2010-02-19,9.236563,9.406301,9.236563,9.392156,5.841716,406580
2010-02-22,9.194129,9.500600,9.184699,9.307288,5.788931,1068518
2010-02-23,9.241278,9.349722,8.991387,9.099830,5.659897,1100968
2010-02-24,9.047966,9.382727,9.047966,9.264853,5.762537,59597
2010-02-25,9.241278,9.241278,8.967812,9.076256,5.645234,647516
2010-02-26,9.038536,9.429876,9.010246,9.425161,5.862245,34783
2010-03-01,9.472310,9.477025,9.066826,9.066826,5.639367,1207226
2010-03-02,9.099830,9.345007,8.911233,8.934807,5.557255,137647
2010-03-03,9.194129,9.194129,8.939522,8.958382,5.571918,223544
2010-03-04,9.052681,9.113975,8.958382,8.958382,5.571918,35419
2010-03-05,9.095115,9.099830,8.958382,9.076256,5.645234,123649
2010-03-08,9.095115,9.165839,8.986672,9.052681,5.630569,91835
2010-03-09,9.132835,9.137550,8.958382,8.981957,5.586582,64263
2010-03-10,8.981957,9.241278,8.934807,8.934807,5.557255,520685
2010-03-11,8.887658,8.958382,8.746210,8.958382,5.571918,172006
2010-03-12,8.727350,9.071541,8.727350,8.958382,5.571918,95653
2010-03-15,8.722635,9.146980,8.722635,9.052681,5.630569,214000
2010-03-16,8.958382,9.420446,8.873513,9.005531,5.601245,566497
2010-03-17,9.090400,9.349722,9.090400,9.208274,5.727345,221211
2010-03-18,9.123405,9.406301,9.123405,9.335577,5.806527,407640
2010-03-19,9.335577,9.335577,8.981957,9.264853,5.762537,1132570
2010-03-22,9.269568,9.288428,9.005531,9.288428,5.777200,62779
2010-03-23,9.179984,9.406301,9.179984,9.312002,5.791863,650061
2010-03-24,9.297858,9.335577,9.104545,9.109260,5.665761,269568
2010-03-25,9.198844,9.283713,9.113975,9.217704,5.733210,51114
2010-03-26,9.071541,9.236563,9.071541,9.175269,5.706817,51538
2010-03-29,9.104545,9.255423,9.062111,9.099830,5.659897,338286
2010-03-30,9.231849,9.378012,9.109260,9.151695,5.692155,138708
2010-03-31,9.321432,9.321432,8.958382,8.958382,5.571918,1324089
2010-04-01,8.958382,9.170554,8.628336,8.633051,5.369570,274658
2010-04-05,8.722635,8.722635,8.392590,8.392590,5.220008,618884
2010-04-06,8.486888,8.486888,8.203992,8.203992,5.102704,1270006
2010-04-07,8.303006,8.392590,7.949385,8.062544,5.014726,968623
2010-04-08,8.086119,8.392590,8.062544,8.062544,5.014726,678
2010-04-09,8.397304,8.463314,8.340725,8.439739,5.249334,524503
2010-04-12,8.435024,8.482173,8.350155,8.482173,5.275725,677845
2010-04-13,8.482173,8.501033,8.326580,8.496318,5.284525,1121541
2010-04-14,8.505748,8.595332,8.270001,8.486888,5.278659,669573
2010-04-15,8.548182,8.548182,8.298291,8.392590,5.220008,75504
2010-04-16,8.458599,8.515178,8.274716,8.392590,5.220008,744654
2010-04-19,8.387875,8.505748,8.345440,8.345440,5.190682,108378
2010-04-20,8.265286,8.567042,8.265286,8.486888,5.278659,691419
2010-04-22,8.439739,8.486888,8.345440,8.439739,5.249334,1003618
2010-04-23,8.491603,8.604762,8.218137,8.486888,5.278659,534471
2010-04-26,8.486888,8.557612,8.369015,8.491603,5.281592,275507
2010-04-27,8.260571,8.515178,8.241711,8.251141,5.132029,272538
2010-04-28,8.340725,8.453884,8.251141,8.251141,5.132029,93108
2010-04-29,8.402019,8.463314,8.317151,8.345440,5.190682,81231
2010-04-30,8.213422,8.604762,8.062544,8.359585,5.199480,269992
2010-05-03,8.486888,8.623621,8.486888,8.486888,5.278659,182
2010-05-04,8.496318,8.628336,8.369015,8.392590,5.220008,271901
2010-05-05,8.359585,8.364300,8.180417,8.298291,5.161357,108591
2010-05-06,8.255856,8.524608,8.015394,8.109693,5.044051,169673
2010-05-07,8.062544,8.515178,7.996535,7.996535,4.973670,897996
2010-05-10,8.246426,8.501033,7.831512,7.949385,4.944344,192791
2010-05-11,7.968245,8.199277,7.826797,7.991820,4.970738,189822
2010-05-12,8.015394,8.534038,7.944670,8.090833,5.032321,176036
2010-05-13,8.095548,8.430309,8.095548,8.345440,5.190682,355465
2010-05-14,8.255856,8.439739,8.251141,8.251141,5.132029,1640106
2010-05-17,8.246426,8.387875,7.906951,8.133268,5.058717,180490
2010-05-18,8.133268,8.378445,8.029539,8.062544,5.014726,120892
2010-05-19,8.062544,8.251141,7.939955,8.015394,4.985401,406580
2010-05-20,7.826797,8.020109,7.826797,7.873946,4.897423,913055
2010-05-21,7.770218,8.015394,7.770218,7.826797,4.868097,284839
2010-05-24,7.987105,7.991820,7.789077,7.789077,4.844635,42418
2010-05-25,7.789077,7.944670,7.548616,7.779648,4.838771,115165
2010-05-26,8.001250,8.015394,7.873946,8.015394,4.985401,324712
2010-05-27,8.010680,8.086119,7.935241,8.086119,5.029390,1055156
2010-05-28,8.109693,8.477458,8.043684,8.406734,5.228806,131709
2010-05-31,8.477458,8.482173,8.345440,8.392590,5.220008,38176
2010-06-01,8.477458,8.477458,8.255856,8.255856,5.134962,15058
2010-06-02,8.251141,8.477458,8.251141,8.298291,5.161357,158644
2010-06-04,8.152128,8.463314,8.133268,8.463314,5.263997,302442
2010-06-07,8.477458,8.755640,8.435024,8.675486,5.395962,309442
2010-06-08,8.675486,9.349722,8.675486,8.958382,5.571918,380280
2010-06-09,8.939522,8.963097,8.604762,8.604762,5.351974,30965
2010-06-10,8.604762,8.864083,8.600047,8.793359,5.469278,64051
2010-06-11,8.637766,8.816934,8.637766,8.722635,5.425290,527048
2010-06-14,8.840509,8.840509,8.581187,8.581187,5.337311,57264
2010-06-15,8.769785,8.835794,8.604762,8.614192,5.357840,40085
2010-06-16,8.633051,8.812219,8.425594,8.534038,5.307986,121740
2010-06-17,8.402019,8.788644,8.402019,8.628336,5.366637,106470
2010-06-18,8.397304,8.722635,8.397304,8.722635,5.425290,78
2010-06-21,8.651911,8.934807,8.439739,8.722635,5.425290,192579
2010-06-22,8.930092,8.934807,8.722635,8.864083,5.513268,54507
2010-06-23,8.840509,9.052681,8.732065,8.963097,5.574851,113257
2010-06-24,9.005531,9.029106,8.911233,8.958382,5.571918,29904
2010-06-25,8.948952,9.170554,8.948952,9.052681,5.630569,20360
2010-06-28,9.066826,9.283713,9.052681,9.194129,5.718547,130436
2010-06-29,8.963097,9.194129,8.958382,9.194129,5.718547,127043
2010-06-30,9.165839,9.425161,9.132835,9.425161,5.862245,310714
2010-07-01,9.401586,9.429876,9.241278,9.401586,5.847580,262145
2010-07-02,9.392156,9.453451,9.392156,9.392156,5.841716,149736
2010-07-05,9.429876,9.547749,9.429876,9.429876,5.865178,21421
2010-07-06,9.425161,9.807071,9.425161,9.524175,5.923829,102016
2010-07-07,9.429876,9.887225,9.429876,9.816501,6.105650,146979
2010-07-08,9.849505,10.137117,9.849505,10.089967,6.275740,436909
2010-07-12,9.712772,9.759922,9.712772,9.759922,6.070458,625883
2010-07-13,9.802356,9.854220,9.448736,9.665623,6.011807,96501
2010-07-14,9.444021,9.477025,9.406301,9.429876,5.865178,152918
2010-07-15,9.519460,9.566609,9.401586,9.429876,5.865178,61718
2010-07-16,9.453451,9.477025,9.316717,9.429876,5.865178,188125
2010-07-19,9.660908,9.759922,9.434591,9.434591,5.868111,46872
2010-07-20,9.439306,9.594899,9.194129,9.429876,5.865178,1402139
2010-07-21,9.429876,9.552464,9.345007,9.345007,5.812391,167552
2010-07-22,9.453451,9.755207,9.429876,9.519460,5.920897,764166
2010-07-23,9.547749,9.722202,9.429876,9.439306,5.871043,38176
2010-07-26,9.660908,9.660908,9.434591,9.453451,5.879841,9968
2010-07-27,9.623188,9.623188,9.429876,9.495885,5.906233,190882
2010-07-28,9.495885,9.642048,9.198844,9.359152,5.821188,93744
2010-07-29,9.557179,9.637333,9.429876,9.448736,5.876908,143374
2010-07-30,9.387441,9.665623,9.363867,9.618473,5.982481,146979
2010-08-02,9.524175,9.618473,9.500600,9.500600,5.909164,178157
2010-08-03,9.524175,9.571324,9.477025,9.524175,5.923829,50902
2010-08-04,9.505315,9.609044,9.382727,9.382727,5.835852,9332
2010-08-05,9.543034,9.712772,9.543034,9.547749,5.938491,86745
2010-08-06,9.528890,9.887225,9.439306,9.439306,5.871043,28208
2010-08-09,9.552464,9.887225,9.411016,9.618473,5.982481,126194
2010-08-10,9.755207,9.901370,9.514745,9.533605,5.929695,48356
2010-08-11,9.665623,9.670338,9.477025,9.491170,5.903299,17603
2010-08-12,9.561894,9.924944,9.561894,9.613759,5.998887,35631
2010-08-13,9.665623,10.132402,9.618473,9.642048,6.016538,266387
2010-08-16,9.444021,9.774066,9.429876,9.481740,5.916508,86957
2010-08-17,9.500600,9.698627,9.500600,9.594899,5.987119,184519
2010-08-18,9.755207,10.042818,9.722202,9.939089,6.201888,47932
2010-08-19,10.188981,10.924511,9.939089,10.924511,6.816782,156311
2010-08-20,10.957516,10.962231,10.231415,10.514312,6.560822,120892
2010-08-23,10.514312,10.608610,10.240845,10.278565,6.413718,444968
2010-08-24,10.547316,10.547316,9.783496,9.783496,6.104798,30117
2010-08-25,9.788211,10.302139,9.646763,10.184266,6.354877,1249008
2010-08-26,10.179551,10.420013,9.906085,10.231415,6.384296,39024
2010-08-27,10.320999,10.320999,9.976809,10.231415,6.384296,83352
2010-08-30,10.320999,10.320999,9.901370,9.948519,6.207772,323864
2010-08-31,9.906085,10.354004,9.906085,10.184266,6.354877,142101
2010-09-01,10.042818,10.401153,10.042818,10.042818,6.266613,313
2010-09-02,10.207841,10.372864,10.184266,10.372864,6.472559,107954
2010-09-03,10.368149,10.368149,10.080537,10.089967,6.296034,27996
2010-09-06,10.231415,10.467162,10.231415,10.325714,6.443138,30329
2010-09-08,10.471877,10.599181,10.122972,10.302139,6.428427,82927
2010-09-09,10.297425,10.561461,10.203126,10.278565,6.413718,399793
2010-09-10,10.278565,10.754774,10.188981,10.273850,6.410775,206365
2010-09-13,10.396438,10.462447,10.207841,10.287995,6.419603,105833
2010-09-14,10.240845,10.325714,10.240845,10.283280,6.416660,182398
2010-09-15,10.368149,10.372864,10.283280,10.349289,6.457850,487174
2010-09-16,10.391723,10.457732,10.179551,10.372864,6.472559,158008
2010-09-17,10.457732,10.608610,10.207841,10.561461,6.590240,301594
2010-09-20,10.556746,10.698194,10.377579,10.698194,6.675561,296292
2010-09-21,10.471877,10.509597,10.264420,10.396438,6.487269,207425
2010-09-22,10.269135,10.585036,9.312002,10.585036,6.604950,710
2010-09-23,10.207841,10.316284,10.099397,10.264420,6.404891,138283
2010-09-24,10.113542,10.254990,9.783496,9.995669,6.237193,1934065
2010-09-27,10.132402,10.132402,9.891940,10.066393,6.281324,448362
2010-09-28,10.132402,10.137117,9.858935,9.967379,6.219543,207637
2010-09-29,9.906085,10.047533,9.906085,10.042818,6.266613,167976
2010-09-30,9.995669,10.066393,9.741062,9.901370,6.178353,339559
2010-10-01,9.981524,10.023958,9.783496,9.972094,6.222483,332560
2010-10-04,9.929659,9.957949,9.896655,9.948519,6.207772,96713
2010-10-05,9.858935,9.939089,9.854220,9.901370,6.178353,165007
2010-10-06,9.816501,9.901370,9.811786,9.901370,6.178353,71474
2010-10-07,9.920230,9.948519,9.858935,9.901370,6.178353,142737
2010-10-08,9.948519,9.981524,9.670338,9.906085,6.181293,430122
2010-10-11,9.986239,10.207841,9.981524,10.151261,6.334281,73595
2010-10-13,10.023958,10.108827,9.995669,10.019243,6.251904,713901
2010-10-14,10.132402,10.132402,9.807071,9.901370,6.178353,443484
2010-10-15,9.830646,10.085252,9.830646,9.901370,6.178353,269144
2010-10-18,10.132402,10.132402,9.854220,9.896655,6.175410,75504
2010-10-19,9.901370,9.901370,9.811786,9.901370,6.178353,75716
2010-10-20,9.901370,10.085252,9.807071,9.863650,6.154815,409973
2010-10-21,9.901370,9.901370,9.665623,9.830646,6.134219,733837
2010-10-22,9.726917,9.901370,9.717487,9.901370,6.178353,451119
2010-10-25,9.901370,10.556746,9.802356,10.372864,6.472559,297564
2010-10-26,10.363434,10.462447,10.066393,10.137117,6.325456,202335
2010-10-27,10.028673,10.368149,9.972094,10.273850,6.410775,215061
2010-10-28,10.160691,10.306854,9.906085,10.302139,6.428427,40509
2010-10-29,10.170121,10.372864,10.113542,10.372864,6.472559,202123
2010-11-01,10.599181,10.707624,10.188981,10.707624,6.681446,248995
2010-11-03,10.768918,10.768918,10.429443,10.608610,6.619663,68505
2010-11-04,10.566176,10.717054,10.514312,10.702909,6.678504,125134
2010-11-05,10.698194,10.698194,10.387008,10.674620,6.660851,65112
2010-11-08,10.372864,10.801923,10.372864,10.702909,6.678504,213364
2010-11-09,10.514312,10.929226,10.514312,10.655760,6.649082,161401
2010-11-10,10.929226,10.929226,10.420013,10.420013,6.501979,27359
2010-11-11,10.561461,10.820783,10.287995,10.585036,6.604950,140616
