Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.881687,0.990130,0.876972,0.938266,0.451355,11879298
2000-01-04,0.905262,0.905262,0.848683,0.848683,0.408261,13942859
2000-01-05,0.853398,0.919407,0.820394,0.919407,0.442283,10583302
2000-01-06,0.914692,0.938266,0.909977,0.933551,0.449087,26664146
2000-01-07,0.942981,0.957126,0.919407,0.928836,0.446819,12954589
2000-01-10,0.952411,0.975985,0.947696,0.961841,0.462696,12685125
2000-01-11,0.980700,0.980700,0.952411,0.957126,0.460428,8634293
2000-01-12,0.966556,0.966556,0.928836,0.938266,0.451355,4795300
2000-01-13,0.966556,0.971271,0.914692,0.919407,0.442283,12173959
2000-01-14,0.924121,0.947696,0.909977,0.924121,0.444551,12330972
2000-01-17,0.919407,0.971271,0.919407,0.957126,0.460428,5944781
2000-01-18,0.957126,0.957126,0.919407,0.933551,0.449087,7319167
2000-01-19,0.938266,0.938266,0.909977,0.924121,0.444551,6008473
2000-01-20,0.919407,0.938266,0.895832,0.905262,0.435479,5068964
2000-01-21,0.924121,0.924121,0.872257,0.886402,0.426406,4292766
2000-01-24,0.895832,0.895832,0.867543,0.867543,0.417334,2846290
2000-01-25,0.867543,0.867543,0.867543,0.867543,0.417334,0
2000-01-26,0.862828,0.876972,0.853398,0.862828,0.415065,8432720
2000-01-27,0.867543,0.881687,0.848683,0.853398,0.410529,4604458
2000-01-28,0.858113,0.858113,0.825108,0.829823,0.399188,4816530
2000-01-31,0.834538,0.839253,0.777959,0.801534,0.385580,6517539
2000-02-01,0.801534,0.825108,0.801534,0.820394,0.394653,10907826
2000-02-02,0.825108,0.834538,0.820394,0.820394,0.394653,1690276
2000-02-03,0.825108,0.848683,0.815679,0.815679,0.392384,12460454
2000-02-04,0.829823,0.829823,0.815679,0.825108,0.396920,11648095
2000-02-07,0.829823,0.876972,0.829823,0.876972,0.421869,9425422
2000-02-08,0.886402,0.895832,0.872257,0.872257,0.419601,8852664
2000-02-09,0.881687,0.886402,0.843968,0.848683,0.408261,7153755
2000-02-10,0.848683,0.848683,0.825108,0.843968,0.405993,13987420
2000-02-11,0.848683,0.848683,0.820394,0.820394,0.394653,4990341
2000-02-14,0.843968,0.843968,0.801534,0.801534,0.385580,6328797
2000-02-15,0.815679,0.815679,0.782674,0.792104,0.381044,7938585
2000-02-16,0.820394,0.829823,0.792104,0.815679,0.392384,14275782
2000-02-17,0.820394,0.848683,0.806249,0.825108,0.396920,7247076
2000-02-18,0.820394,0.820394,0.796819,0.806249,0.387848,6850462
2000-02-21,0.825108,0.825108,0.792104,0.806249,0.387848,7429519
2000-02-22,0.820394,0.820394,0.801534,0.806249,0.387848,13902497
2000-02-23,0.810964,0.810964,0.782674,0.796819,0.383312,15126403
2000-02-24,0.806249,0.806249,0.796819,0.801534,0.385580,11696855
2000-02-25,0.801534,0.810964,0.782674,0.787389,0.378775,15164664
2000-02-28,0.792104,0.792104,0.773244,0.782674,0.376507,6046735
2000-02-29,0.792104,0.796819,0.763815,0.763815,0.367435,2426346
2000-03-01,0.777959,0.782674,0.754385,0.763815,0.367435,9259777
2000-03-02,0.777959,0.777959,0.759100,0.773244,0.371971,12116800
2000-03-03,0.777959,0.792104,0.773244,0.777959,0.374239,14454025
2000-03-06,0.777959,0.777959,0.777959,0.777959,0.374239,0
2000-03-07,0.777959,0.777959,0.777959,0.777959,0.374239,0
2000-03-08,0.754385,0.763815,0.754385,0.759100,0.365167,6977845
2000-03-09,0.768530,0.768530,0.759100,0.763815,0.367435,7603329
2000-03-10,0.768530,0.768530,0.744955,0.754385,0.362899,17255755
2000-03-13,0.754385,0.754385,0.754385,0.754385,0.362899,0
2000-03-14,0.744955,0.749670,0.707236,0.721380,0.347022,3130453
2000-03-15,0.716666,0.721380,0.697806,0.707236,0.340218,8642692
2000-03-16,0.716666,0.759100,0.711951,0.744955,0.358362,13062608
2000-03-17,0.749670,0.754385,0.726095,0.735525,0.353826,9535541
2000-03-20,0.740240,0.744955,0.740240,0.740240,0.356094,2848390
2000-03-21,0.744955,0.744955,0.735525,0.744955,0.358362,8615162
2000-03-22,0.749670,0.768530,0.735525,0.768530,0.369703,13616235
2000-03-23,0.768530,0.801534,0.754385,0.763815,0.367435,15849640
2000-03-24,0.777959,0.820394,0.777959,0.815679,0.392384,23731067
2000-03-27,0.820394,0.829823,0.815679,0.820394,0.394653,13132599
2000-03-28,0.815679,0.820394,0.796819,0.806249,0.387848,8173987
2000-03-29,0.815679,0.815679,0.782674,0.792104,0.381044,5238575
2000-03-30,0.796819,0.801534,0.777959,0.792104,0.381044,5138954
2000-03-31,0.801534,0.810964,0.787389,0.801534,0.385580,6653321
2000-04-03,0.810964,0.820394,0.787389,0.815679,0.392384,13904830
2000-04-04,0.825108,0.843968,0.777959,0.810964,0.390116,19109577
2000-04-05,0.806249,0.815679,0.787389,0.796819,0.383312,7168686
2000-04-06,0.810964,0.810964,0.796819,0.801534,0.385580,6458047
2000-04-07,0.801534,0.801534,0.792104,0.801534,0.385580,4865291
2000-04-10,0.796819,0.796819,0.768530,0.768530,0.369703,4905652
2000-04-11,0.763815,0.773244,0.749670,0.759100,0.365167,5403986
2000-04-12,0.759100,0.782674,0.754385,0.763815,0.367435,12823007
2000-04-13,0.801534,0.801534,0.730810,0.744955,0.358362,4816530
2000-04-14,0.744955,0.744955,0.674231,0.683661,0.328877,10761545
2000-04-17,0.678946,0.678946,0.636512,0.655372,0.315268,18988493
2000-04-18,0.669516,0.721380,0.664802,0.702521,0.337950,18080946
2000-04-19,0.707236,0.707236,0.664802,0.669516,0.322072,13957790
2000-04-20,0.678946,0.702521,0.669516,0.678946,0.326609,7713681
2000-04-21,0.678946,0.678946,0.678946,0.678946,0.326609,0
2000-04-24,0.674231,0.688376,0.655372,0.674231,0.324340,9571703
2000-04-25,0.674231,0.693091,0.674231,0.683661,0.328877,8095597
2000-04-26,0.678946,0.683661,0.669516,0.674231,0.324340,8702184
2000-04-27,0.674231,0.697806,0.660087,0.688376,0.331145,12697956
2000-04-28,0.702521,0.735525,0.702521,0.730810,0.351558,12776346
2000-05-01,0.730810,0.730810,0.730810,0.730810,0.351558,0
2000-05-02,0.740240,0.744955,0.693091,0.693091,0.333413,17397836
2000-05-03,0.707236,0.707236,0.674231,0.683661,0.328877,14278115
2000-05-04,0.693091,0.693091,0.669516,0.669516,0.322072,19644073
2000-05-05,0.683661,0.693091,0.674231,0.688376,0.331145,10280009
2000-05-08,0.683661,0.688376,0.669516,0.678946,0.326609,10950287
2000-05-09,0.688376,0.697806,0.660087,0.669516,0.322072,14297012
2000-05-10,0.678946,0.678946,0.660087,0.660087,0.317536,6267205
2000-05-11,0.674231,0.674231,0.660087,0.669516,0.322072,4409417
2000-05-12,0.674231,0.683661,0.655372,0.669516,0.322072,4780368
2000-05-15,0.669516,0.707236,0.660087,0.707236,0.340218,9745513
2000-05-16,0.716666,0.730810,0.697806,0.730810,0.351558,7726513
2000-05-17,0.721380,0.721380,0.707236,0.716666,0.344754,5071063
2000-05-18,0.721380,0.726095,0.707236,0.711951,0.342486,2816428
2000-05-19,0.707236,0.711951,0.683661,0.702521,0.337950,6979945
2000-05-22,0.697806,0.697806,0.660087,0.674231,0.324340,5749740
2000-05-23,0.678946,0.683661,0.660087,0.669516,0.322072,7705282
2000-05-24,0.678946,0.693091,0.660087,0.683661,0.328877,3809130
2000-05-25,0.688376,0.688376,0.678946,0.683661,0.328877,3857890
2000-05-26,0.693091,0.697806,0.664802,0.688376,0.331145,5442248
2000-05-29,0.693091,0.697806,0.683661,0.697806,0.335681,824957
2000-05-30,0.693091,0.716666,0.683661,0.711951,0.342486,2998870
2000-05-31,0.707236,0.716666,0.702521,0.702521,0.337950,6231277
2000-06-01,0.702521,0.716666,0.693091,0.707236,0.340218,4769870
2000-06-02,0.716666,0.744955,0.716666,0.735525,0.353826,8731813
2000-06-05,0.740240,0.744955,0.730810,0.740240,0.356094,15991722
2000-06-06,0.740240,0.740240,0.740240,0.740240,0.356094,0
2000-06-07,0.744955,0.749670,0.721380,0.749670,0.360631,11344802
2000-06-08,0.754385,0.768530,0.740240,0.759100,0.365167,6116725
2000-06-09,0.759100,0.763815,0.744955,0.759100,0.365167,5560999
2000-06-12,0.759100,0.759100,0.749670,0.749670,0.360631,3828261
2000-06-13,0.759100,0.759100,0.740240,0.754385,0.362899,4195012
2000-06-14,0.759100,0.777959,0.754385,0.768530,0.369703,6587530
2000-06-15,0.768530,0.777959,0.759100,0.777959,0.374239,3512136
2000-06-16,0.777959,0.787389,0.768530,0.782674,0.376507,7894024
2000-06-19,0.777959,0.792104,0.777959,0.792104,0.381044,6890823
2000-06-20,0.792104,0.792104,0.782674,0.787389,0.378775,5073163
2000-06-21,0.801534,0.829823,0.792104,0.820394,0.394653,16445495
2000-06-22,0.820394,0.820394,0.820394,0.820394,0.394653,0
2000-06-23,0.801534,0.810964,0.787389,0.792104,0.381044,6644689
2000-06-26,0.806249,0.806249,0.777959,0.787389,0.378775,6962914
2000-06-27,0.782674,0.796819,0.782674,0.782674,0.376507,6738010
2000-06-28,0.796819,0.815679,0.796819,0.815679,0.392384,5683949
2000-06-29,0.820394,0.825108,0.796819,0.806249,0.387848,2430545
2000-06-30,0.810964,0.829823,0.810964,0.815679,0.392384,6907854
2000-07-03,0.834538,0.839253,0.825108,0.834538,0.401456,8080666
2000-07-04,0.839253,0.858113,0.839253,0.858113,0.412798,6657521
2000-07-05,0.858113,0.862828,0.839253,0.853398,0.410529,20224996
2000-07-06,0.853398,0.886402,0.853398,0.886402,0.426406,9770943
2000-07-07,0.881687,0.895832,0.872257,0.886402,0.426406,16246255
2000-07-10,0.891117,0.895832,0.876972,0.876972,0.421869,14496486
2000-07-11,0.872257,0.886402,0.848683,0.853398,0.410529,7643690
2000-07-12,0.862828,0.872257,0.848683,0.872257,0.419601,11145328
2000-07-13,0.848683,0.853398,0.820394,0.839253,0.403725,5609759
2000-07-14,0.839253,0.858113,0.834538,0.848683,0.408261,5268204
2000-07-17,0.853398,0.862828,0.853398,0.862828,0.415065,7970314
2000-07-18,0.858113,0.872257,0.858113,0.862828,0.415065,9910924
