Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,11.744000,11.744000,11.744000,11.744000,8.087987,17500
2014-01-24,11.744000,11.744000,11.744000,11.744000,8.087987,0
2014-01-27,11.744000,11.744000,11.744000,11.744000,8.087987,0
2014-01-28,12.684000,12.684000,12.400000,12.586000,8.667866,86500
2014-01-29,12.260000,12.360000,12.256000,12.350000,8.505335,66000
2014-01-30,12.256000,12.462000,12.200000,12.200000,8.402030,174000
2014-01-31,12.200000,12.414000,12.100000,12.400000,8.539764,184000
2014-02-03,12.100000,12.100000,11.840000,12.000000,8.264293,46500
2014-02-04,11.802000,11.802000,11.398000,11.600000,7.988817,319500
2014-02-05,11.542000,11.700000,11.100000,11.340000,7.809757,1280500
2014-02-06,11.656000,12.000000,11.228000,11.600000,7.988817,1238000
2014-02-07,11.800000,11.988000,11.000000,11.800000,8.126554,1697500
2014-02-10,11.686000,12.000000,11.400000,11.918000,8.207819,884500
2014-02-11,12.100000,12.200000,11.732000,12.000000,8.264293,1122000
2014-02-12,12.198000,12.198000,11.834000,12.198000,8.400654,1922500
2014-02-13,11.804000,12.260000,11.650000,12.260000,8.443354,1340000
2014-02-14,12.248000,12.498000,12.002000,12.498000,8.607261,834000
2014-02-17,12.410000,12.616000,12.244000,12.520000,8.622412,811500
2014-02-18,12.310000,12.390000,12.050000,12.300000,8.470897,1167000
2014-02-19,12.060000,12.114000,11.894000,12.100000,8.333160,1972000
2014-02-20,12.076000,12.174000,11.876000,12.132000,8.355199,1741000
2014-02-21,12.174000,12.200000,11.942000,12.080000,8.319385,1464000
2014-02-24,12.158000,12.158000,11.754000,11.858000,8.166499,1008000
2014-02-25,11.808000,11.840000,11.422000,11.738000,8.083855,2029000
2014-02-26,11.752000,11.820000,11.544000,11.580000,7.975039,1287000
2014-02-27,11.562000,11.798000,11.470000,11.794000,8.122419,1219500
2014-02-28,11.794000,11.850000,11.394000,11.598000,7.987438,1914500
2014-03-05,11.522000,11.522000,11.266000,11.430000,7.871740,939500
2014-03-06,11.430000,11.430000,11.224000,11.298000,7.780831,1317000
2014-03-07,11.258000,11.312000,11.002000,11.060000,7.616921,1501000
2014-03-10,11.060000,11.060000,10.552000,10.680000,7.355218,1969000
2014-03-11,10.602000,10.694000,10.400000,10.604000,7.302881,1793000
2014-03-12,10.520000,10.960000,10.488000,10.928000,7.526018,2095000
2014-03-13,10.876000,10.976000,10.610000,10.796000,7.435104,1995500
2014-03-14,10.704000,10.900000,10.552000,10.800000,7.437862,2376000
2014-03-17,10.754000,10.868000,10.612000,10.680000,7.355218,1103500
2014-03-18,10.730000,11.158000,10.582000,11.158000,7.684413,3929000
2014-03-19,11.010000,11.388000,10.990000,11.246000,7.745019,1556000
2014-03-20,11.024000,11.416000,11.024000,11.276000,7.765678,1687000
2014-03-21,11.230000,11.230000,11.032000,11.080000,7.697821,1257500
2014-03-24,11.062000,11.280000,10.932000,11.078000,7.696432,1095500
2014-03-25,11.380000,11.430000,10.900000,11.320000,7.864561,1154700
2014-03-26,11.340000,11.380000,10.930000,11.240000,7.808982,3317300
2014-03-27,11.050000,11.700000,10.960000,11.490000,7.982668,2182100
2014-03-28,11.590000,11.680000,11.270000,11.490000,7.982668,1295600
2014-03-31,11.550000,11.650000,11.340000,11.640000,8.086884,2025800
2014-04-01,11.600000,11.740000,11.420000,11.580000,8.045199,1189200
2014-04-02,11.580000,11.970000,11.480000,11.970000,8.316151,1952600
2014-04-03,11.660000,12.010000,11.660000,12.000000,8.336992,972900
2014-04-04,12.100000,12.150000,11.860000,12.090000,8.399517,1533900
2014-04-07,12.030000,12.240000,11.860000,12.180000,8.462049,1772600
2014-04-08,12.360000,12.390000,11.850000,11.980000,8.323097,3120700
2014-04-09,11.900000,11.900000,11.560000,11.730000,8.149410,5297400
2014-04-10,11.640000,11.640000,11.200000,11.500000,7.989620,3997900
2014-04-11,11.420000,11.550000,11.150000,11.300000,7.850667,3900800
2014-04-14,11.230000,11.560000,11.100000,11.350000,7.885405,2437000
2014-04-15,11.350000,11.350000,10.920000,11.260000,7.822880,2118000
2014-04-16,11.330000,11.550000,11.000000,11.430000,7.940984,2535200
2014-04-17,11.370000,11.750000,11.250000,11.740000,8.156359,2408200
2014-04-22,11.600000,11.830000,11.350000,11.600000,8.059091,2944000
2014-04-23,11.520000,11.590000,11.230000,11.300000,7.850667,3236400
2014-04-24,11.360000,11.490000,11.110000,11.440000,7.947931,1648500
2014-04-25,11.360000,11.520000,11.190000,11.380000,7.906247,2169500
2014-04-28,11.300000,11.650000,11.210000,11.570000,8.038251,2106500
2014-04-29,11.530000,11.850000,11.400000,11.750000,8.163301,3340200
2014-04-30,11.680000,11.890000,11.510000,11.700000,8.128567,2640000
2014-05-02,11.660000,12.080000,11.550000,11.950000,8.302254,4051200
2014-05-05,12.020000,12.250000,11.930000,12.180000,8.462049,3068500
2014-05-06,12.220000,12.300000,11.960000,12.300000,8.545417,2558500
2014-05-07,12.160000,12.310000,12.090000,12.310000,8.552364,3995500
2014-05-08,12.220000,12.320000,12.010000,12.140000,8.434258,2283600
2014-05-09,12.070000,12.150000,11.940000,11.960000,8.309203,1482500
2014-05-12,12.050000,12.120000,11.960000,12.120000,8.420365,1015500
2014-05-13,12.080000,12.190000,11.980000,12.050000,8.371731,1146400
2014-05-14,12.020000,12.170000,11.920000,12.060000,8.378677,1476700
2014-05-15,11.980000,12.050000,11.760000,11.930000,8.288361,1322200
2014-05-16,11.940000,12.100000,11.790000,12.010000,8.343941,1830400
2014-05-19,12.070000,12.140000,11.750000,11.800000,8.198045,1552300
2014-05-20,11.740000,11.830000,11.410000,11.490000,7.982668,3116700
2014-05-21,11.520000,11.520000,11.260000,11.390000,7.913196,1795500
2014-05-22,11.390000,11.530000,11.270000,11.420000,7.934038,2149700
2014-05-23,11.390000,11.440000,11.200000,11.400000,7.920146,5966600
2014-05-26,11.610000,11.610000,11.610000,11.610000,8.066041,745000
2014-05-27,11.640000,11.690000,11.330000,11.440000,7.947931,1853200
2014-05-28,11.430000,11.600000,11.360000,11.560000,8.031304,2265900
2014-05-29,11.560000,11.630000,11.460000,11.560000,8.031304,1541400
2014-05-30,11.440000,11.530000,11.260000,11.440000,7.947931,5771900
2014-06-02,11.370000,11.550000,11.330000,11.430000,7.940984,2057500
2014-06-03,11.430000,11.590000,11.350000,11.570000,8.038251,1509700
2014-06-04,11.500000,11.500000,11.280000,11.450000,7.954881,1808400
2014-06-05,11.380000,11.480000,11.340000,11.350000,7.885405,1608600
2014-06-06,11.570000,11.590000,11.360000,11.400000,7.920146,2880300
2014-06-09,11.400000,11.600000,11.370000,11.460000,7.961825,2150600
2014-06-10,11.410000,11.430000,11.150000,11.380000,7.906247,3395700
2014-06-11,11.420000,11.470000,11.180000,11.280000,7.836774,2280000
2014-06-13,11.300000,11.300000,11.070000,11.160000,7.753401,2517300
2014-06-16,11.120000,11.120000,10.910000,11.000000,7.642244,1563800
2014-06-17,11.000000,11.050000,10.730000,10.960000,7.614453,2434700
2014-06-18,11.000000,11.210000,10.820000,11.160000,7.753401,3509800
2014-06-20,11.020000,11.490000,10.960000,11.450000,7.954881,5027000
2014-06-23,11.420000,11.430000,11.200000,11.210000,7.788139,899600
2014-06-24,11.150000,11.390000,11.140000,11.330000,7.871513,1607800
2014-06-25,11.250000,11.300000,10.970000,11.040000,7.670032,1901100
2014-06-26,11.100000,11.200000,10.950000,11.150000,7.746453,1507100
2014-06-27,11.070000,11.170000,10.970000,11.030000,7.663085,1118500
2014-06-30,11.080000,11.120000,10.990000,11.100000,7.711718,2716500
2014-07-01,11.100000,11.100000,10.880000,11.000000,7.642244,1738800
2014-07-02,11.010000,11.110000,10.910000,11.110000,7.718666,3445200
2014-07-03,11.040000,11.350000,11.000000,11.250000,7.815929,2066700
2014-07-04,11.250000,11.530000,11.210000,11.470000,7.968775,769900
2014-07-07,11.400000,11.510000,11.320000,11.460000,7.961825,890300
2014-07-08,11.450000,11.530000,11.390000,11.500000,7.989620,1471600
2014-07-10,11.550000,11.680000,11.470000,11.660000,8.100777,2159600
2014-07-11,11.660000,11.840000,11.570000,11.800000,8.198045,2084600
2014-07-14,11.820000,11.940000,11.770000,11.830000,8.218884,2430200
2014-07-15,11.830000,11.870000,11.530000,11.610000,8.066041,1365500
2014-07-16,11.650000,11.800000,11.480000,11.650000,8.093828,2263200
2014-07-17,11.630000,11.730000,11.390000,11.580000,8.045199,5342400
2014-07-18,11.820000,11.880000,11.590000,11.790000,8.191096,2343700
2014-07-21,11.740000,11.760000,11.440000,11.540000,8.017408,3264800
2014-07-22,11.510000,11.590000,11.370000,11.400000,7.920146,3938100
2014-07-23,11.320000,11.400000,11.190000,11.360000,7.892351,1341500
2014-07-24,11.370000,11.490000,11.270000,11.490000,7.982668,956900
2014-07-25,11.410000,11.500000,11.300000,11.450000,7.954881,838600
2014-07-28,11.380000,11.490000,11.310000,11.450000,7.954881,1478600
2014-07-29,11.440000,11.460000,11.270000,11.400000,7.920146,1200300
2014-07-30,11.470000,11.490000,11.180000,11.260000,7.822880,1750100
2014-07-31,11.160000,11.350000,11.070000,11.350000,7.885405,5636700
2014-08-01,11.270000,11.380000,11.250000,11.340000,7.878459,2202800
2014-08-04,11.380000,11.440000,11.280000,11.400000,7.920146,1562500
2014-08-05,11.370000,11.450000,11.070000,11.290000,7.843722,5674700
2014-08-06,11.310000,11.350000,11.120000,11.210000,7.788139,2413300
2014-08-07,11.250000,11.270000,11.030000,11.120000,7.725615,5923100
2014-08-08,11.080000,11.230000,10.970000,11.140000,7.739508,1468100
2014-08-11,11.130000,11.200000,11.080000,11.030000,7.663085,1963500
2014-08-12,11.020000,11.150000,10.980000,11.080000,7.815374,1395400
2014-08-13,11.150000,11.300000,10.970000,11.140000,7.857696,2180800
2014-08-14,11.060000,11.180000,11.020000,11.130000,7.850641,998200
2014-08-15,11.260000,11.310000,11.160000,11.180000,7.885908,2224200
2014-08-18,11.260000,11.270000,11.130000,11.220000,7.914122,1072300
2014-08-19,11.540000,11.680000,11.250000,11.610000,8.189211,1723900
2014-08-20,11.600000,11.770000,11.530000,11.750000,8.287963,2579500
2014-08-21,11.680000,11.860000,11.660000,11.760000,8.295017,2002800
2014-08-22,11.750000,11.820000,11.610000,11.750000,8.287963,2089200
2014-08-25,11.800000,12.070000,11.740000,11.990000,8.457248,2107800
2014-08-26,12.040000,12.080000,11.840000,11.890000,8.386714,2294600
2014-08-27,11.970000,12.000000,11.850000,11.870000,8.372606,2666000
2014-08-28,11.860000,11.920000,11.520000,11.570000,8.160998,3680700
2014-08-29,11.590000,11.630000,11.200000,11.410000,8.048141,4744800
2014-09-01,11.450000,11.480000,11.110000,11.200000,7.900015,3219100
2014-09-02,11.220000,11.750000,11.210000,11.740000,8.280907,3075200
2014-09-03,11.710000,11.950000,11.640000,11.920000,8.407871,3086000
2014-09-04,11.890000,12.390000,11.790000,12.300000,8.675909,6522300
2014-09-05,12.280000,12.570000,12.220000,12.570000,8.866355,3633500
2014-09-08,12.660000,12.720000,11.930000,12.150000,8.570105,3389200
