Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,37.049999,39.000000,35.990002,36.759998,36.518314,3867300
2019-12-19,36.950001,39.180000,36.560001,38.849998,38.594570,5179700
2019-12-20,39.049999,39.900002,38.660000,39.040001,38.783325,6573600
2019-12-23,39.380001,40.200001,39.119999,39.849998,39.587997,3142300
2019-12-26,39.900002,39.990002,39.119999,39.439999,39.180691,1778300
2019-12-27,39.509998,39.860001,38.400002,38.869999,38.630150,3110600
2019-12-30,39.150002,39.540001,38.259998,38.669998,38.431385,4234000
2020-01-02,38.880001,39.080002,37.500000,38.330002,38.093487,10508500
2020-01-03,38.500000,41.000000,38.360001,41.000000,40.747009,55883200
2020-01-06,41.200001,43.330002,39.500000,40.130001,39.882378,71292300
2020-01-07,40.200001,40.860001,39.270000,40.779999,40.528366,23487900
2020-01-08,40.799999,42.060001,40.529999,40.990002,40.737072,15211800
2020-01-09,41.500000,42.000000,40.610001,42.000000,41.740837,13393700
2020-01-10,41.980000,43.529999,41.590000,42.889999,42.625347,14962600
2020-01-13,43.500000,43.830002,43.220001,43.730000,43.460163,11517500
2020-01-14,43.200001,44.259998,43.080002,44.259998,43.986893,4145300
2020-01-15,44.000000,44.939999,43.500000,44.580002,44.304920,3568600
2020-01-16,44.799999,45.419998,43.919998,45.410000,45.129795,5136100
2020-01-17,45.439999,46.669998,45.009998,45.880001,45.596897,4789700
2020-01-20,45.900002,46.580002,45.689999,46.500000,46.213070,3062600
2020-01-21,46.380001,47.189999,45.950001,45.950001,45.666466,6218400
2020-01-22,46.500000,48.160000,46.200001,47.750000,47.455357,4608300
2020-01-23,47.740002,49.380001,46.720001,49.380001,49.075302,5322400
2020-01-24,49.599998,50.150002,48.799999,49.180000,48.876534,3807800
2020-01-27,48.209999,48.590000,46.180000,47.470001,47.177086,7017800
2020-01-28,47.619999,49.439999,47.509998,49.040001,48.737400,4028100
2020-01-29,49.490002,49.680000,48.020000,48.349998,48.051655,6008300
2020-01-30,48.000000,48.950001,46.119999,48.950001,48.647953,8110500
2020-01-31,48.230000,48.930000,46.900002,47.580002,47.286407,6292500
2020-02-03,47.980000,49.099998,47.639999,47.790001,47.495113,4027100
2020-02-04,48.419998,49.549999,48.090000,48.520000,48.220608,4459600
2020-02-05,49.200001,49.599998,47.560001,48.500000,48.200729,4125500
2020-02-06,48.900002,49.150002,46.700001,47.040001,46.749741,4359700
2020-02-07,46.759998,47.270000,45.020000,45.570000,45.288811,7468200
2020-02-10,45.459999,46.349998,43.520000,44.980000,44.702450,8622800
2020-02-11,45.299999,47.900002,45.040001,47.799999,47.505051,6146500
2020-02-12,47.930000,50.230000,47.700001,49.279999,48.975918,7281900
2020-02-13,48.000000,49.169998,47.830002,49.169998,48.866592,2545800
2020-02-14,49.060001,50.939999,48.500000,50.889999,50.575981,4532700
2020-02-17,50.779999,51.290001,49.480000,50.619999,50.307648,2630700
2020-02-18,50.146088,50.276077,49.146168,49.856110,49.548473,4230429
2020-02-19,50.146088,50.786037,48.506214,50.346073,50.035412,3815597
2020-02-20,50.396069,50.886028,49.096169,49.996101,49.687599,4593258
2020-02-21,49.896107,49.896107,48.006256,48.496216,48.196968,5545532
2020-02-26,45.606441,46.786350,44.996490,46.336384,46.050465,9365030
2020-02-27,46.176399,46.716354,44.506527,45.526447,45.245525,9294124
2020-02-28,44.416534,45.506451,42.266705,45.506451,45.225651,12443270
2020-03-02,44.646519,45.806427,44.026566,44.806503,44.530025,6106876
2020-03-03,45.296467,45.956413,43.526604,44.496529,44.221962,17643276
2020-03-04,44.746510,45.096481,43.296623,44.166553,43.894024,8969299
2020-03-05,44.636517,44.636517,40.846813,41.246780,40.992268,8391654
2020-03-06,40.266857,40.796818,39.396927,39.796894,39.551327,15628518
2020-03-09,36.737133,37.807053,35.397240,35.997192,35.775070,15945043
2020-03-10,37.667061,39.096951,35.647221,39.096951,38.855701,11769117
2020-03-11,37.497074,37.497074,32.987427,35.907200,35.685635,15144281
2020-03-12,30.047655,33.747368,27.997816,28.507776,28.331869,9072407
2020-03-13,34.497311,35.987190,29.397705,32.997425,32.793816,13099621
2020-03-16,26.997894,27.937820,24.308104,24.998051,24.843800,15559013
2020-03-17,26.347944,27.837828,25.048046,27.837828,27.666054,11333683
2020-03-18,25.747992,26.357944,20.848373,25.198034,25.042549,13265934
2020-03-19,24.098120,26.157959,21.508322,25.887980,25.728237,12084842
2020-03-20,26.997894,28.217798,24.798065,25.168036,25.012735,10788241
2020-03-23,24.948053,24.978050,20.438404,21.248343,21.117229,14846157
2020-03-24,22.698229,25.697994,22.418251,24.898058,24.744425,10991957
2020-03-25,24.248108,30.657608,23.618156,28.897745,28.719431,10479617
2020-03-26,28.317791,30.167646,27.487856,28.997738,28.818808,8757183
2020-03-27,27.297871,29.137728,27.207876,28.547773,28.371618,6051772
2020-03-30,28.807753,29.287716,26.627922,27.427860,27.258615,8644374
2020-03-31,27.497854,27.497854,24.798065,25.737991,25.579174,9118111
2020-04-01,23.998129,24.778067,22.328259,23.188190,23.045107,14495330
2020-04-02,23.328180,24.738070,22.698229,23.878138,23.730797,8305947
2020-04-03,23.648155,24.398096,21.818298,23.678152,23.532045,8496462
2020-04-06,25.608002,27.827829,24.818064,26.437937,26.274801,8627372
2020-04-07,28.017815,29.597691,28.017815,28.957741,28.779057,8928296
2020-04-08,28.957741,30.377630,27.837828,30.107651,29.921871,6465704
2020-04-09,30.147648,30.987581,28.747757,28.977739,28.798931,10042483
2020-04-13,28.807753,29.297714,27.047890,28.257795,28.083429,10306003
2020-04-14,28.877747,30.547617,28.747757,29.777678,29.593933,7773606
2020-04-15,28.847750,32.627457,28.797752,31.797520,31.601313,11196473
2020-04-16,32.097496,33.777367,31.507542,32.327477,32.127998,10479717
2020-04-17,33.407394,34.317322,31.997503,33.337399,33.131691,10445214
2020-04-20,32.497463,34.507309,31.997503,33.457390,33.250942,5973665
2020-04-22,33.587379,35.577225,33.087418,34.997269,34.781319,6927640
2020-04-23,35.097263,35.697216,33.247406,34.597301,34.383820,5787551
2020-04-24,33.997349,34.347321,30.097652,33.227409,33.022381,9526242
2020-04-27,33.937351,35.447235,33.347397,35.397240,35.178822,7609093
2020-04-28,35.987190,36.347164,34.617298,35.057266,34.840946,9974377
2020-04-29,35.477234,36.567146,34.507309,36.317165,36.093071,7712101
2020-04-30,35.697216,36.857124,34.967274,35.517227,35.298069,20515600
2020-05-04,34.397316,34.397316,32.997425,34.397316,34.185066,9430635
2020-05-05,34.787285,35.467232,34.097340,34.517307,34.304317,5997967
2020-05-06,34.607300,36.657139,33.607376,36.497154,36.271950,7067851
2020-05-07,36.997112,37.307091,35.397240,36.447159,36.222260,12137346
2020-05-08,36.597145,37.497074,34.847282,35.697216,35.476948,12173649
2020-05-11,34.827282,35.767208,33.497387,34.147335,33.936630,7448180
2020-05-12,34.137337,34.217331,31.997503,32.047501,31.849751,11032160
2020-05-13,32.270000,33.700001,31.670000,32.430000,32.229889,6541400
2020-05-14,31.900000,33.240002,31.459999,33.240002,33.034893,6269000
2020-05-15,32.320000,32.959999,31.540001,32.180000,31.981434,7992800
2020-05-18,33.529999,33.680000,32.430000,33.360001,33.154152,5653900
2020-05-19,33.000000,34.259998,32.540001,32.540001,32.339214,5229500
2020-05-20,32.430000,33.900002,32.169998,33.709999,33.501991,5111400
2020-05-21,33.650002,35.000000,33.439999,33.910000,33.700756,5277200
2020-05-22,33.740002,34.279999,32.700001,34.099998,33.889584,4784600
2020-05-25,34.500000,35.599998,34.380001,35.139999,34.923168,5711100
2020-05-26,35.700001,36.919998,35.439999,36.080002,35.857368,7380500
2020-05-27,36.279999,39.349998,36.230000,38.700001,38.461201,8965200
2020-05-28,38.689999,38.990002,36.880001,37.740002,37.507126,7211800
2020-05-29,37.730000,37.930000,36.099998,37.180000,36.950581,14846000
2020-06-01,36.990002,38.590000,36.349998,37.970001,37.735706,5714100
2020-06-02,38.000000,38.709999,37.520000,38.009998,37.775455,5244900
2020-06-03,38.480000,39.270000,37.560001,38.330002,38.093487,5992200
2020-06-04,38.639999,38.639999,37.150002,37.910000,37.676075,11086100
2020-06-05,38.410000,41.139999,38.349998,40.139999,39.892315,11240800
2020-06-08,40.650002,41.950001,39.520000,41.290001,41.035221,7818700
2020-06-09,40.500000,41.270000,39.880001,41.209999,40.955711,6789800
2020-06-10,41.549999,41.950001,40.009998,40.849998,40.597935,7792300
2020-06-12,39.480000,40.610001,39.389999,40.020000,39.773056,10475900
2020-06-15,39.310001,41.840000,39.240002,40.580002,40.329601,7617100
2020-06-16,42.540001,42.840000,40.310001,40.310001,40.061268,5748700
2020-06-17,40.310001,42.490002,40.310001,41.919998,41.661331,7024500
2020-06-18,41.610001,43.900002,41.000000,41.540001,41.283676,9534500
2020-06-19,41.869999,43.740002,41.580002,42.230000,41.969418,13950300
2020-06-22,42.310001,42.549999,40.820000,41.049999,40.796700,4733900
2020-06-23,41.410000,42.340000,41.080002,42.340000,42.078739,6858900
2020-06-24,42.180000,42.549999,40.330002,41.299999,41.045158,5368800
2020-06-25,40.990002,42.049999,40.840000,41.860001,41.601704,5545300
2020-06-26,41.369999,42.139999,39.459999,39.900002,39.653797,5172800
