Date,Open,High,Low,Close,Adj Close,Volume
2021-08-05,7.480000,7.600000,7.180000,7.240000,6.626758,98849900
2021-08-06,7.250000,7.350000,7.030000,7.100000,6.498616,28799900
2021-08-09,7.180000,7.310000,7.070000,7.070000,6.471158,14491100
2021-08-10,7.120000,7.160000,7.050000,7.100000,6.498616,9988600
2021-08-11,7.130000,7.140000,6.800000,6.870000,6.288098,31978000
2021-08-12,6.970000,6.980000,6.750000,6.960000,6.370474,17054100
2021-08-13,6.980000,7.040000,6.860000,7.010000,6.416240,21141500
2021-08-16,6.970000,7.120000,6.780000,7.020000,6.425392,13434600
2021-08-17,6.930000,6.990000,6.760000,6.820000,6.242332,17772000
2021-08-18,6.830000,7.000000,6.720000,6.810000,6.233181,8841700
2021-08-19,6.700000,6.930000,6.420000,6.930000,6.343015,5423700
2021-08-20,6.890000,7.050000,6.830000,6.980000,6.388781,3109200
2021-08-23,7.040000,7.200000,7.010000,7.170000,6.562687,6128800
2021-08-24,7.240000,7.400000,7.180000,7.250000,6.635911,6054100
2021-08-25,7.320000,7.380000,7.260000,7.340000,6.718288,5190100
2021-08-26,7.340000,7.380000,7.100000,7.100000,6.498616,7968100
2021-08-27,7.150000,7.240000,7.120000,7.190000,6.580993,5881000
2021-08-30,7.250000,7.280000,7.090000,7.110000,6.507769,4966000
2021-08-31,7.150000,7.150000,7.010000,7.100000,6.498616,3704100
2021-09-01,7.100000,7.150000,7.030000,7.070000,6.471158,6468600
2021-09-02,7.070000,7.090000,6.770000,6.800000,6.224027,3746900
2021-09-03,6.840000,7.000000,6.730000,7.000000,6.407086,3705400
2021-09-06,6.940000,7.020000,6.880000,6.930000,6.343015,1654400
2021-09-08,6.930000,6.930000,6.420000,6.530000,5.976897,10251100
2021-09-09,6.530000,6.620000,6.350000,6.410000,5.867061,5428200
2021-09-10,6.540000,6.690000,6.370000,6.500000,5.949438,5905500
2021-09-13,6.750000,7.000000,6.720000,6.950000,6.361321,8999600
2021-09-14,7.060000,7.380000,7.060000,7.190000,6.580993,9730300
2021-09-15,7.240000,7.380000,7.140000,7.240000,6.626758,7265900
2021-09-16,7.200000,7.290000,7.000000,7.120000,6.516922,6142600
2021-09-17,7.100000,7.240000,6.780000,7.240000,6.626758,16008100
2021-09-20,6.990000,7.170000,6.880000,7.110000,6.507769,9065700
2021-09-21,7.200000,7.400000,7.110000,7.280000,6.663370,11102500
2021-09-22,7.330000,7.440000,7.260000,7.310000,6.690829,10254600
2021-09-23,7.380000,7.420000,7.190000,7.230000,6.617605,6341600
2021-09-24,7.190000,7.230000,6.990000,7.000000,6.407086,5138200
2021-09-27,7.000000,7.190000,6.920000,7.150000,6.544381,6343700
2021-09-28,7.100000,7.120000,6.940000,6.940000,6.352168,6782400
2021-09-29,7.050000,7.090000,6.850000,6.850000,6.269792,6482600
2021-09-30,6.900000,7.200000,6.870000,7.100000,6.498616,15990100
2021-10-01,7.180000,7.450000,7.180000,7.370000,6.745747,15528000
2021-10-04,7.400000,7.430000,7.020000,7.020000,6.425392,12019000
2021-10-05,7.140000,7.220000,7.080000,7.130000,6.526075,12888200
2021-10-06,7.070000,7.100000,6.880000,6.990000,6.412538,10376100
2021-10-07,7.110000,7.330000,7.030000,7.130000,6.540972,18438800
2021-10-08,7.200000,7.530000,7.120000,7.140000,6.550147,20480700
2021-10-11,7.200000,7.250000,7.030000,7.030000,6.449234,10407400
2021-10-13,7.070000,7.120000,7.030000,7.050000,6.467581,8146000
2021-10-14,7.070000,7.220000,7.060000,7.150000,6.559320,10992200
2021-10-15,7.170000,7.190000,7.040000,7.100000,6.513451,34203500
2021-10-18,7.080000,7.090000,6.960000,6.980000,6.403365,7596500
2021-10-19,6.980000,7.000000,6.670000,6.690000,6.137322,11473400
2021-10-20,6.800000,6.840000,6.610000,6.680000,6.128148,6234400
2021-10-21,6.560000,6.610000,6.190000,6.430000,5.898802,12472300
2021-10-22,6.340000,6.400000,5.880000,6.370000,5.843758,18890200
2021-10-25,6.430000,6.650000,6.280000,6.630000,6.082279,11428100
2021-10-26,6.600000,6.640000,6.430000,6.580000,6.036409,8470300
2021-10-27,6.600000,6.750000,6.550000,6.630000,6.082279,7675900
2021-10-28,6.510000,6.820000,6.480000,6.780000,6.219888,8299700
2021-10-29,6.740000,6.810000,6.610000,6.780000,6.219888,3926300
2021-11-01,6.750000,6.860000,6.730000,6.790000,6.229061,5059700
2021-11-03,6.770000,7.000000,6.700000,6.900000,6.329974,5711600
2021-11-04,6.900000,6.970000,6.610000,6.750000,6.192366,8687600
2021-11-05,6.790000,6.850000,6.720000,6.750000,6.192366,3123600
2021-11-08,6.800000,6.830000,6.720000,6.770000,6.210713,3898000
2021-11-09,6.780000,6.980000,6.730000,6.730000,6.174018,5176300
2021-11-10,6.740000,6.800000,6.500000,6.500000,5.963019,10074000
2021-11-11,6.600000,6.830000,6.570000,6.800000,6.238235,8604300
2021-11-12,6.880000,6.880000,6.260000,6.520000,5.981366,20568500
2021-11-16,6.550000,6.580000,5.910000,6.020000,5.522673,27445700
2021-11-17,6.070000,6.180000,5.660000,5.850000,5.366717,24600900
2021-11-18,5.900000,6.040000,5.740000,5.840000,5.357543,17735600
2021-11-19,5.840000,5.980000,5.760000,5.930000,5.440108,11364600
2021-11-22,5.920000,6.030000,5.630000,5.630000,5.164892,8516000
2021-11-23,5.660000,5.770000,5.410000,5.670000,5.201586,9084200
2021-11-24,5.570000,5.680000,5.460000,5.570000,5.109848,8397000
2021-11-25,5.600000,6.080000,5.430000,6.080000,5.577715,20546100
2021-11-26,5.700000,6.040000,5.680000,5.910000,5.421760,8564200
2021-11-29,5.980000,6.100000,5.790000,5.790000,5.311673,7811800
2021-11-30,5.740000,5.800000,5.420000,5.460000,5.008936,11282700
2021-12-01,5.540000,5.830000,5.490000,5.490000,5.036457,12492100
2021-12-02,5.550000,5.690000,5.370000,5.690000,5.219934,18379200
2021-12-03,5.680000,6.030000,5.630000,6.020000,5.522673,10548200
2021-12-06,6.080000,6.130000,5.830000,5.830000,5.348369,5884400
2021-12-07,5.930000,5.950000,5.560000,5.920000,5.430934,9906100
2021-12-08,5.910000,6.040000,5.800000,5.980000,5.485977,9204000
2021-12-09,5.890000,6.150000,5.860000,5.920000,5.430934,9205900
2021-12-10,5.960000,6.300000,5.930000,6.160000,5.651106,8741300
2021-12-13,6.160000,6.360000,6.140000,6.220000,5.706150,8265100
2021-12-14,6.220000,6.340000,6.140000,6.170000,5.660281,6640900
2021-12-15,6.200000,6.250000,6.030000,6.200000,5.687802,4791400
2021-12-16,6.240000,6.280000,6.050000,6.110000,5.605238,9238300
2021-12-17,6.020000,6.050000,5.930000,5.930000,5.440108,50153800
2021-12-20,5.860000,5.860000,5.600000,5.820000,5.339195,8433600
2021-12-21,5.850000,5.910000,5.680000,5.750000,5.274978,5049800
2021-12-22,5.720000,5.740000,5.560000,5.670000,5.201586,4649500
2021-12-23,5.650000,5.740000,5.620000,5.720000,5.247456,3174500
2021-12-27,5.710000,5.920000,5.670000,5.920000,5.430934,4493500
2021-12-28,5.900000,6.050000,5.870000,6.050000,5.550195,4379800
2021-12-29,6.020000,6.090000,5.900000,6.010000,5.513499,5394800
2021-12-30,6.020000,6.460000,5.950000,6.450000,5.917149,23096200
2022-01-03,6.440000,6.500000,6.230000,6.270000,5.752019,7451800
2022-01-04,6.260000,6.350000,6.160000,6.330000,5.807063,10613100
2022-01-05,6.280000,6.300000,5.790000,5.790000,5.311673,7203400
2022-01-06,5.800000,5.850000,5.490000,5.560000,5.120140,8427100
2022-01-07,5.610000,5.950000,5.570000,5.820000,5.359571,10961100
2022-01-10,5.700000,5.780000,5.530000,5.700000,5.249063,11253600
2022-01-11,5.660000,5.900000,5.660000,5.900000,5.433241,5425200
2022-01-12,5.930000,6.220000,5.890000,6.130000,5.645046,9077500
2022-01-13,6.040000,6.210000,6.040000,6.110000,5.626628,4388600
2022-01-14,6.110000,6.200000,6.010000,6.190000,5.700299,4745900
2022-01-17,6.140000,6.340000,6.140000,6.180000,5.691089,3137800
2022-01-18,6.170000,6.240000,6.060000,6.180000,5.691089,3854900
2022-01-19,6.210000,6.480000,6.210000,6.370000,5.866058,12660500
2022-01-20,6.370000,6.580000,6.350000,6.440000,5.930521,9343500
2022-01-21,6.400000,6.410000,6.180000,6.230000,5.737134,7609900
2022-01-24,6.160000,6.190000,6.030000,6.150000,5.663463,8531700
2022-01-25,6.080000,6.280000,6.050000,6.200000,5.709508,8097000
2022-01-26,6.310000,6.400000,6.190000,6.220000,5.727925,11610000
2022-01-27,6.290000,6.480000,6.230000,6.250000,5.755551,8501200
2022-01-28,6.210000,6.460000,6.210000,6.380000,5.875268,15566700
2022-01-31,6.320000,6.530000,6.280000,6.420000,5.912104,7514700
2022-02-01,6.500000,6.530000,6.240000,6.400000,5.893685,8050400
2022-02-02,6.450000,6.630000,6.370000,6.390000,5.884476,8808600
2022-02-03,6.400000,6.530000,6.330000,6.460000,5.948939,8390300
2022-02-04,6.450000,6.560000,6.350000,6.380000,5.875268,8483700
2022-02-07,6.430000,6.510000,6.260000,6.270000,5.773969,7178800
2022-02-08,6.290000,6.420000,6.180000,6.330000,5.829223,9770800
2022-02-09,6.330000,6.470000,6.300000,6.350000,5.847641,8867400
2022-02-10,6.400000,6.470000,6.270000,6.430000,5.921312,9667400
2022-02-11,6.460000,6.510000,6.300000,6.350000,5.847641,8001300
2022-02-14,6.360000,6.500000,6.360000,6.420000,5.912104,12680200
2022-02-15,6.550000,6.550000,6.220000,6.420000,5.912104,17426200
2022-02-16,6.440000,6.550000,6.370000,6.430000,5.921312,12029900
2022-02-17,6.460000,6.470000,6.210000,6.290000,5.792387,16171600
2022-02-18,6.310000,6.330000,5.980000,6.110000,5.626628,12852100
2022-02-21,6.140000,6.150000,5.720000,5.770000,5.313526,8726900
2022-02-22,5.830000,5.900000,5.610000,5.650000,5.203018,7346000
2022-02-23,5.700000,5.750000,5.600000,5.660000,5.212227,10772600
2022-02-24,5.550000,5.790000,5.380000,5.770000,5.313526,11357100
2022-02-25,5.760000,5.820000,5.620000,5.710000,5.258272,6795000
2022-03-02,5.750000,6.030000,5.670000,5.990000,5.516121,7030100
