Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.888750,7.962916,7.777916,7.815000,4.727554,2536
2000-01-04,7.629583,7.629583,7.296250,7.351666,4.447268,2432
2000-01-05,7.259166,7.259166,7.037916,7.147083,4.323508,6675
2000-01-06,7.148333,7.185000,7.000000,7.111250,4.301833,2989
2000-01-07,7.222083,7.222083,7.185000,7.211250,4.362325,2025
2000-01-10,7.333333,7.666666,7.333333,7.666666,4.637822,6138
2000-01-11,7.481666,7.629583,7.425833,7.629583,4.615390,1975
2000-01-12,7.629583,7.629583,7.407500,7.462916,4.514566,2699
2000-01-13,7.629583,7.629583,7.370416,7.407500,4.481044,3477
2000-01-14,7.407500,7.592083,7.407500,7.555416,4.570523,1812
2000-01-17,7.629583,7.666666,7.518333,7.666666,4.637822,2265
2000-01-18,7.611250,7.611250,7.555416,7.592500,4.592956,1808
2000-01-19,7.592500,7.592500,7.425833,7.481666,4.525910,998
2000-01-20,7.481666,7.555416,7.407500,7.555416,4.570523,2768
2000-01-21,7.629583,7.670416,7.592500,7.592500,4.592956,3244
2000-01-24,7.592500,7.629583,7.444583,7.444583,4.503477,4632
2000-01-25,7.444583,7.444583,7.444583,7.444583,4.503477,0
2000-01-26,7.518333,7.703333,7.500000,7.703333,4.660003,3363
2000-01-27,7.703750,7.703750,7.425833,7.444583,4.503477,1332
2000-01-28,7.444583,7.444583,7.260000,7.333333,4.436178,1630
2000-01-31,7.333333,7.407500,7.111250,7.407500,4.481044,944
2000-02-01,7.407500,7.407500,7.185000,7.222083,4.368879,2856
2000-02-02,7.335000,7.407916,7.333333,7.407500,4.481044,1447
2000-02-03,7.555416,7.666666,7.407500,7.444583,4.503477,1486
2000-02-04,7.518333,7.548333,7.500000,7.518333,4.548090,1597
2000-02-07,7.518333,7.518333,7.407083,7.444583,4.503477,1939
2000-02-08,7.470416,7.629583,7.407500,7.470416,4.519103,2870
2000-02-09,7.406666,7.406666,7.222083,7.222083,4.368879,791
2000-02-10,7.185416,7.185416,7.000000,7.074166,4.279399,2269
2000-02-11,7.111250,7.111250,6.981666,7.000000,4.234534,1559
2000-02-14,6.981666,7.000000,6.851666,6.851666,4.144801,2271
2000-02-15,6.888750,6.888750,6.592500,6.740833,4.077754,2369
2000-02-16,6.740833,6.925833,6.629583,6.815000,4.122621,1453
2000-02-17,6.844583,6.870416,6.483333,6.596250,3.990292,1996
2000-02-18,6.666666,6.703750,6.515000,6.515000,3.941141,4039
2000-02-21,6.555416,6.555416,6.485000,6.518333,3.943157,3444
2000-02-22,6.611250,6.611250,6.444583,6.518333,3.943157,1716
