Date,Open,High,Low,Close,Adj Close,Volume
2007-06-15,5.838842,5.975206,5.752066,5.867768,3.410652,12298440
2007-06-18,5.867768,5.950413,5.834710,5.842975,3.396240,608630
2007-06-19,5.867768,5.904958,5.752066,5.752066,3.343400,1410134
2007-06-20,5.785123,5.888429,5.752066,5.847107,3.398641,2156462
2007-06-21,5.747933,5.822314,5.747933,5.785123,3.362613,245146
2007-06-22,5.785123,5.797520,5.764462,5.785123,3.362613,1841378
2007-06-25,5.785123,5.789256,5.723140,5.735537,3.333791,2793648
2007-06-26,5.702479,5.904958,5.702479,5.805785,3.374623,189244
2007-06-27,5.706611,5.892561,5.706611,5.826446,3.386632,406560
2007-06-28,5.793388,5.826446,5.785123,5.822314,3.384230,164318
2007-06-29,5.756198,5.855371,5.756198,5.834710,3.391437,143022
2007-07-02,5.842975,5.888429,5.842975,5.867768,3.410652,288948
2007-07-03,5.863636,6.140495,5.863636,6.074380,3.530744,511104
2007-07-04,6.095041,6.095041,5.954545,5.971074,3.470698,430034
2007-07-05,5.938016,6.074380,5.938016,6.041322,3.511529,5903106
2007-07-06,6.074380,6.095041,6.033057,6.066115,3.525940,282656
2007-07-10,6.045454,6.136363,5.909090,6.053719,3.518736,2799698
2007-07-11,6.012396,6.103305,5.971074,6.037190,3.509128,123420
2007-07-12,6.111570,6.111570,5.950413,5.991735,3.482707,1983432
2007-07-13,5.991735,6.090909,5.958677,6.033057,3.506726,576202
2007-07-16,6.033057,6.219008,5.876033,6.219008,3.614810,360096
2007-07-17,6.219008,6.301652,6.157024,6.301652,3.662847,3009512
2007-07-18,6.301652,6.425619,6.239669,6.425619,3.734902,298870
2007-07-19,6.425619,6.590909,6.363636,6.528925,3.794950,1420540
2007-07-20,6.611570,6.752066,6.528925,6.731404,3.912642,676632
2007-07-23,6.694214,6.772727,6.487603,6.665289,3.874213,631620
2007-07-24,6.673553,6.838842,6.528925,6.694214,3.891025,717046
2007-07-25,6.735537,6.838842,6.611570,6.719008,3.905435,378004
2007-07-26,6.677685,6.694214,6.285123,6.404958,3.722893,719708
2007-07-27,6.301652,6.814049,6.280991,6.694214,3.891025,376794
2007-07-30,6.834710,6.834710,6.528925,6.690082,3.888622,605000
2007-07-31,6.652892,6.661157,6.487603,6.652892,3.867006,444070
2007-08-01,6.508264,6.859504,6.446280,6.723140,3.907838,1357136
2007-08-02,6.694214,6.876033,6.528925,6.818181,3.963081,302500
2007-08-03,6.818181,6.818181,6.570247,6.690082,3.888622,490292
2007-08-06,6.690082,6.880165,6.495867,6.880165,3.999109,331056
2007-08-07,6.859504,6.880165,6.694214,6.855371,3.984697,350416
2007-08-08,6.859504,6.880165,6.694214,6.814049,3.960679,192874
2007-08-09,6.814049,6.859504,6.450413,6.859504,3.987099,191180
2007-08-10,6.752066,7.004132,6.495867,7.004132,4.071164,399058
2007-08-13,7.000000,7.045454,6.814049,7.045454,4.095184,68244
2007-08-14,7.020661,7.020661,6.681818,6.681818,3.883818,36058
2007-08-15,6.611570,6.727272,6.404958,6.570247,3.818968,691636
2007-08-16,6.239669,6.359504,6.074380,6.074380,3.530744,388410
2007-08-17,6.805785,6.805785,5.995867,6.194214,3.600398,816508
2007-08-20,6.603305,6.603305,5.971074,6.049586,3.516334,860794
2007-08-21,6.190082,6.190082,5.909090,5.987603,3.480305,864424
2007-08-22,6.198347,6.198347,6.115702,6.115702,3.554764,910646
2007-08-23,6.392561,6.392561,5.909090,6.115702,3.554764,1105698
2007-08-24,5.991735,6.074380,5.909090,5.975206,3.473099,385506
2007-08-27,6.152892,6.276859,6.041322,6.057851,3.521137,116160
2007-08-28,6.194214,6.198347,5.867768,6.020661,3.499521,533610
2007-08-29,6.157024,6.157024,6.033057,6.095041,3.542754,453508
2007-08-30,6.095041,6.095041,5.950413,6.074380,3.530744,606936
2007-08-31,5.991735,6.119834,5.991735,5.991735,3.482707,584188
2007-09-03,6.095041,6.095041,6.033057,6.074380,3.530744,264748
2007-09-04,6.095041,6.095041,6.012396,6.012396,3.494716,265232
