Date,Open,High,Low,Close,Adj Close,Volume
2007-02-12,7.833333,7.966666,7.540000,7.886666,5.691341,20976300
2007-02-13,8.000000,8.466666,7.916666,8.233333,5.941510,6365700
2007-02-14,8.000000,8.466666,7.916666,8.316666,6.001647,6408900
2007-02-15,8.383333,8.933333,8.383333,8.726666,6.297520,3564600
2007-02-16,8.796666,9.543333,8.733333,9.460000,6.826724,2717400
2007-02-21,9.866666,10.700000,9.696666,10.180000,7.346303,4920600
2007-02-22,10.350000,10.466666,9.836666,9.883333,7.132217,3526200
2007-02-23,9.616666,10.166666,9.266666,9.333333,6.735315,4446300
2007-02-26,9.666666,9.700000,9.116666,9.166666,6.615041,5802300
2007-02-27,9.666666,9.700000,9.116666,9.160000,6.610231,5834400
2007-02-28,8.880000,9.110000,8.796666,9.000000,6.494768,1895100
2007-03-01,8.733333,8.983333,8.506666,8.866666,6.398550,1358400
2007-03-02,8.766666,9.150000,8.766666,8.980000,6.480336,1398900
2007-03-05,8.763333,8.800000,8.633333,8.633333,6.230168,1702200
2007-03-06,8.963333,9.133333,8.900000,9.000000,6.494768,1787700
2007-03-07,9.066666,9.100000,8.813333,8.813333,6.360063,1940700
2007-03-08,9.063333,9.100000,8.813333,8.833333,6.374494,1069500
2007-03-09,9.063333,9.100000,8.813333,8.960000,6.465903,1078800
2007-03-12,8.930000,8.933333,8.743333,8.833333,6.374494,524700
2007-03-13,8.833333,8.833333,8.503333,8.503333,6.136354,1027500
2007-03-14,8.503333,8.766666,8.266666,8.766666,6.326385,873300
2007-03-15,8.696666,8.886666,8.503333,8.783333,6.338413,450600
2007-03-16,8.836666,9.036666,8.833333,8.843333,6.381711,944700
2007-03-19,9.030000,9.030000,8.883333,8.916666,6.434631,201900
2007-03-20,8.933333,8.933333,8.710000,8.816666,6.362467,672600
2007-03-21,8.890000,8.956666,8.716666,8.866666,6.398550,1423500
2007-03-22,8.913333,8.933333,8.633333,8.716666,6.290303,994800
2007-03-23,8.680000,8.766666,8.666666,8.750000,6.314358,549000
2007-03-26,8.900000,8.973333,8.750000,8.870000,6.400955,633000
2007-03-27,8.933333,9.233333,8.793333,9.093333,6.562120,1338300
2007-03-28,9.066666,9.066666,8.833333,8.870000,6.400955,914700
2007-03-29,9.003333,9.133333,8.866666,8.936666,6.449062,858000
2007-03-30,8.983333,9.003333,8.866666,8.870000,6.400955,347100
2007-04-02,8.993333,8.993333,8.666666,8.750000,6.314358,319500
2007-04-03,8.766666,8.933333,8.740000,8.766666,6.326385,493800
2007-04-04,8.800000,9.170000,8.800000,9.100000,6.566933,1784100
2007-04-05,9.066666,9.166666,8.933333,9.116666,6.578959,1129200
2007-04-09,9.133333,9.330000,9.086666,9.100000,6.566933,706500
2007-04-10,9.100000,9.180000,9.066666,9.100000,6.566933,498900
2007-04-11,8.833333,9.160000,8.800000,8.866666,6.398550,678000
2007-04-12,8.866666,8.933333,8.800000,8.933333,6.446659,362700
