Date,Open,High,Low,Close,Adj Close,Volume
2021-02-02,8.447500,8.665000,8.150000,8.150000,7.832062,4686800
2021-02-03,8.280000,8.360000,7.927500,8.225000,7.904137,3913200
2021-02-04,8.240000,8.350000,8.105000,8.200000,7.880112,3601200
2021-02-05,8.185000,8.227500,7.977500,8.125000,7.808038,4343600
2021-02-08,8.162500,9.072500,8.130000,8.587500,8.252496,3120000
2021-02-09,8.652500,8.772500,8.280000,8.477500,8.146787,1356000
2021-02-10,8.550000,8.550000,8.037500,8.250000,7.928162,3464400
2021-02-11,8.250000,8.405000,8.157500,8.292500,7.969003,1632800
2021-02-12,8.275000,8.567500,8.232500,8.370000,8.043480,641200
2021-02-17,8.475000,8.797500,8.470000,8.662500,8.324571,2578000
2021-02-18,8.677500,8.787500,8.500000,8.600000,8.264508,980400
2021-02-19,8.525000,9.045000,8.505000,8.875000,8.528779,1968800
2021-02-22,8.400000,9.197500,8.395000,8.700000,8.360606,1337200
2021-02-23,8.702500,8.907500,8.625000,8.700000,8.360606,1683200
2021-02-24,8.872500,8.997500,8.465000,8.725000,8.384630,1426000
2021-02-25,8.765000,8.812500,8.270000,8.500000,8.168409,1248000
2021-02-26,8.522500,8.907500,8.137500,8.625000,8.288531,1840800
2021-03-01,8.632500,8.800000,8.337500,8.337500,8.012248,1331600
2021-03-02,8.340000,8.547500,8.000000,8.547500,8.214056,1157600
2021-03-03,8.465000,8.465000,8.212500,8.437500,8.108347,1400400
2021-03-04,8.475000,8.600000,8.295000,8.500000,8.168409,747600
2021-03-05,8.475000,8.545000,8.352500,8.355000,8.029065,1292400
2021-03-08,8.355000,8.355000,7.922500,7.922500,7.613438,1002000
2021-03-09,8.042500,8.120000,7.582500,7.650000,7.351568,2480400
2021-03-10,7.842500,7.850000,7.292500,7.445000,7.154566,1274000
2021-03-11,7.487500,7.942500,7.400000,7.942500,7.632658,2200800
2021-03-12,7.915000,8.212500,7.687500,7.972500,7.661487,3219600
2021-03-15,7.940000,8.487500,7.940000,8.375000,8.048285,2395600
2021-03-16,8.300000,8.842500,8.300000,8.800000,8.456706,4225200
2021-03-17,8.800000,9.100000,8.675000,9.000000,8.648904,5002400
2021-03-18,9.050000,9.405000,8.882500,9.037500,8.684941,3612000
2021-03-19,9.050000,9.262500,8.847500,8.950000,8.600854,2834400
2021-03-22,8.947500,9.297500,8.575000,9.000000,8.648904,5305200
2021-03-23,8.945000,9.000000,8.855000,8.950000,8.600854,630000
2021-03-24,8.802500,9.117500,8.525000,8.525000,8.192432,960000
2021-03-25,8.525000,9.275000,8.375000,9.175000,8.817077,2951200
2021-03-26,9.195000,9.275000,8.877500,8.952500,8.603256,2569200
2021-03-29,9.012500,9.125000,8.612500,8.612500,8.276521,3900800
2021-03-30,8.642500,8.787500,8.500000,8.500000,8.168409,1452400
2021-03-31,8.605000,8.787500,8.332500,8.750000,8.408657,2510800
2021-04-01,8.762500,8.960000,8.540000,8.750000,8.408657,865600
2021-04-05,8.812500,8.812500,8.645000,8.725000,8.384630,1065600
2021-04-06,8.775000,8.787500,8.562500,8.587500,8.252496,1302000
2021-04-07,8.590000,8.797500,8.510000,8.625000,8.288531,1382400
2021-04-08,8.625000,9.275000,8.592500,9.037500,8.684941,2083600
2021-04-09,9.045000,9.375000,8.900000,9.112500,8.757015,1422800
2021-04-12,9.155000,9.545000,9.102500,9.275000,8.913176,2158000
2021-04-13,9.272500,9.405000,9.100000,9.200000,8.841102,1030000
2021-04-14,9.272500,9.380000,8.952500,9.380000,9.014080,1998800
2021-04-15,9.400000,9.747500,9.397500,9.660000,9.283156,2006800
2021-04-16,9.660000,9.825000,9.635000,9.750000,9.369645,1052800
2021-04-19,9.750000,9.817500,9.597500,9.775000,9.393669,539200
2021-04-20,9.772500,9.817500,9.620000,9.760000,9.379255,278800
2021-04-22,9.835000,9.967500,9.602500,9.745000,9.364841,600800
2021-04-23,9.782500,9.787500,9.435000,9.750000,9.369645,1114000
2021-04-26,9.747500,9.750000,9.452500,9.500000,9.129397,1253600
2021-04-27,9.525000,9.745000,9.455000,9.665000,9.287960,2748800
2021-04-28,9.665000,10.085000,9.665000,10.000000,9.609893,4338400
2021-04-29,10.085000,10.497500,9.725000,10.250000,9.850141,3206800
2021-04-30,10.217500,10.400000,10.217500,10.400000,9.994287,3157600
2021-05-03,10.400000,10.862500,10.290000,10.537500,10.126425,2435200
2021-05-04,10.537500,11.365000,10.382500,11.072500,10.640554,2836400
2021-05-05,11.072500,11.900000,11.042500,11.650000,11.195525,3766800
2021-05-06,11.650000,11.650000,11.357500,11.627500,11.173903,7934400
2021-05-07,11.702500,11.970000,11.377500,11.750000,11.291625,6990400
2021-05-10,11.750000,11.772500,11.020000,11.170000,10.734250,3419600
2021-05-11,11.067500,11.485000,10.675000,11.452500,11.005730,2159200
2021-05-12,11.387500,11.602500,11.100000,11.350000,10.907228,1542800
2021-05-13,11.380000,11.550000,11.300000,11.497500,11.048976,2460400
2021-05-14,11.497500,11.500000,11.042500,11.462500,11.015339,1254000
2021-05-17,11.447500,11.637500,11.147500,11.500000,11.051376,1858800
2021-05-18,11.497500,11.510000,11.262500,11.500000,11.051376,1366400
